spec_id,file,pl_name,spec_type,authors,instrument,facility,bibcode,n_points,n_usable,wave_min,wave_max,obs_date_min,obs_date_max
272,96-47-48-67__WASP_19_b_3.11448_3426_1.tbl,WASP-19 b,Eclipse,Zhou et al. 2013,Merope 2Kx2K,Las Cumbres Observatory Global Telescope Network (LCOGTN) 2m Faulkes Telescope South at Siding Spring Observatory (SSO),2013ApJ...774..118Z,1,1,0.866,0.866,,
273,88-05-43-72__TrES_3_b_3.11431_3991_2.tbl,TrES-3 b,Transmission,Ricci et al. 2017,Multiple Instruments,Multiple Observatories,2017PASP..129f4401R,2,2,0.63,0.9222,,
274,76-03-26-15__TrES_3_b_3.11431_4086_1.tbl,TrES-3 b,Eclipse,Fressin et al. 2010,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2010ApJ...711..374F,4,4,3.6,8.0,,
275,62-31-15-39__TrES_4_b_3.11432_3622_1.tbl,TrES-4 b,Transmission,Ranjan et al. 2014,WFC3,Hubble Space Telescope satellite,2014ApJ...785..148R,10,10,1.1225,1.638,,
276,55-99-97-89__WASP_10_b_3.11439_4121_1.tbl,WASP-10 b,Eclipse,Kammer et al. 2015,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2015ApJ...810..118K,2,2,3.6,4.5,,
277,77-92-88-92__WASP_19_b_3.11448_3583_1.tbl,WASP-19 b,Transmission,Mandell et al. 2013,Wide Field Camera 3,Hubble Space Telescope satellite,2013ApJ...779..128M,19,19,1.118,1.624,,
278,31-08-25-22__WASP_12_b_3.11441_3580_1.tbl,WASP-12 b,Eclipse,Stevenson et al. 2014,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2014ApJ...791...36S,4,4,3.6,8.0,,
279,87-83-47-14__WASP_19_b_3.11448_3585_2.tbl,WASP-19 b,Transmission,Huitson et al. 2013,Wide Field Camera 3,Hubble Space Telescope satellite,2013MNRAS.434.3252H,6,6,1.137,1.637,,
280,65-05-70-46__WASP_19_b_3.11448_3855_1.tbl,WASP-19 b,Transmission,Wong et al. 2016,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2016ApJ...823..122W,2,2,3.6,4.5,,
281,05-95-23-63__WASP_24_b_3.11452_4098_1.tbl,WASP-24 b,Eclipse,Smith et al. 2012,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2012A&A...545A..93S,2,2,3.6,4.5,,
282,69-12-44-66__WASP_19_b_3.11448_3334_2.tbl,WASP-19 b,Transmission,Mancini et al. 2013,DFOSC imager,Danish 1.54m telescope at European Southern Observatory,2013MNRAS.436....2M,1,1,0.6469,0.6469,,
283,33-33-09-76__WASP_19_b_3.11448_3585_1.tbl,WASP-19 b,Transmission,Huitson et al. 2013,Space Telescope Imaging Spectrograph,Hubble Space Telescope satellite,2013MNRAS.434.3252H,4,4,0.58,0.9295,,
284,24-64-97-81__WASP_19_b_3.11448_3648_1.tbl,WASP-19 b,Transmission,Tregloan-Reed et al. 2013,EFOSC2,New Technology Telescope,2013MNRAS.428.3671T,3,3,0.6814,0.6814,,
285,18-71-37-70__WASP_19_b_3.11448_3652_1.tbl,WASP-19 b,Transmission,Sedaghati et al. 2015,FORS2,European Southern Observatory (ESO) 8.2m Very Large Telescope (VLT) Antu (UT1) at Paranal Observatory,2015A&A...576L..11S,27,27,0.56,0.82,,
286,09-39-38-16__WASP_19_b_3.11448_3662_2.tbl,WASP-19 b,Transmission,Lendl et al. 2013,TRAPPISTCam,European Southern Observatory (ESO) 0.6m TRAnsiting Planets and PlanetesImals Small Telescope (TRAPPIST) at La Silla Observatory,2013A&A...552A...2L,1,1,0.838,0.838,,
287,93-87-77-47__WASP_19_b_3.11448_4111_1.tbl,WASP-19 b,Eclipse,Anderson et al. 2013,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2013MNRAS.430.3422A,6,6,1.6,8.0,,
288,72-94-10-60__WASP_21_b_3.11450_4707_1.tbl,WASP-21 b,Transmission,Alderson et al. 2020,ACAM,Isaac Newton Group (ING) 4.2m William Herschel Telescope (WHT) at Observatorio del Roque de los Muchachos,2020MNRAS.497.5182A,25,25,0.4635,0.9,,
289,32-32-19-36__WASP_29_b_3.11456_3641_1.tbl,WASP-29 b,Transmission,Gibson et al. 2013,GMOS,Association of Universities for Research in Astronomy (AURA) 8.1m Gemini South Telescope at Cerro Pachon,2013MNRAS.428.3680G,15,15,0.52111,0.71747,,
290,62-23-36-28__WASP_31_b_3.11458_3639_1.tbl,WASP-31 b,Transmission,Sing et al. 2015,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2015MNRAS.446.2428S,2,2,3.6,4.5,,
291,85-11-70-27__WASP_31_b_3.11458_4705_1.tbl,WASP-31 b,Transmission,McGruder et al. 2020,IMACS spectrograph,Magellan I Walter Baade Telescope,2020AJ....160..230M,30,30,0.4093,0.8983,,
292,14-24-89-96__WASP_33_b_3.11460_4106_1.tbl,WASP-33 b,Eclipse,de Mooij et al. 2013,LIRIS,Isaac Newton Group (ING) 4.2m William Herschel Telescope (WHT) at Observatorio del Roque de los Muchachos,2013A&A...550A..54D,1,1,2.15,2.15,,
293,33-28-73-14__WASP_33_b_3.11460_4120_1.tbl,WASP-33 b,Eclipse,Haynes et al. 2015,Wide Field Camera 3,Hubble Space Telescope satellite,2015ApJ...806..146H,106,106,1.135,1.629,2456256.905,2456256.905
294,77-84-36-72__WASP_36_b_3.11463_4122_1.tbl,WASP-36 b,Eclipse,Zhou et al. 2015,IRIS2,Australian National University (ANU) 3.9m Anglo-Australian Telescope (AAT) at Siding Spring Observatory (SSO),2015MNRAS.454.3002Z,1,1,2.159,2.159,,
295,27-98-69-00__WASP_39_b_3.11466_3491_1.tbl,WASP-39 b,Transmission,Ricci et al. 2015,Marconi CCD,Observatorio Astronomico Nacional's 2.1m Telescope,2015PASP..127..143R,1,1,0.354,0.354,,
296,65-39-94-57__WASP_39_b_3.11466_3717_1.tbl,WASP-39 b,Transmission,Sing et al. 2016,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2016Natur.529...59S,2,2,3.56,4.5,,
297,40-07-33-40__WASP_39_b_3.11466_3868_1.tbl,WASP-39 b,Transmission,Fischer et al. 2016,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2016ApJ...827...19F,2,2,3.6,4.5,,
298,68-86-51-20__WASP_39_b_3.11466_3939_1.tbl,WASP-39 b,Transmission,Nikolov et al. 2016,FORS2,European Southern Observatory (ESO) 8.2m Very Large Telescope (VLT) Antu (UT1) at Paranal Observatory,2016ApJ...832..191N,28,28,0.418,0.79,,
299,71-71-93-68__WASP_26_b_3.11454_4112_1.tbl,WASP-26 b,Eclipse,Mahtani et al. 2013,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2013MNRAS.432..693M,2,2,3.6,4.5,,
300,32-21-88-31__WASP_33_b_3.11460_4104_2.tbl,WASP-33 b,Eclipse,Deming et al. 2012,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2012ApJ...754..106D,2,2,3.6,4.5,,
301,49-75-29-65__WASP_33_b_3.11460_4616_1.tbl,WASP-33 b,Transmission,von Essen et al. 2019,OSIRIS,Gran Telescopio CANARIAS 10.4m telescope,2019A&A...622A..71V,32,32,0.4303,0.869,,
302,88-05-90-99__WASP_39_b_3.11466_3491_2.tbl,WASP-39 b,Transmission,Ricci et al. 2015,Mexman,Observatorio Astronomico Nacional's 0.84m Telescope,2015PASP..127..143R,2,2,0.634,0.804,,
303,88-18-58-62__WASP_39_b_3.11466_5040_1.tbl,WASP-39 b,Transmission,Ahrer et al. 2023,Near Infrared Camera (NIRCam),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,2023Natur.614..653A,107,107,2.4275,4.0175,,
304,78-57-33-47__WASP_43_b_3.11469_3425_1.tbl,WASP-43 b,Eclipse,Chen et al. 2014,GROND,European Southern Observatory (ESO)/Max Planck Gesellschaft (MPG) 2.2m Telescope at La Silla Observatory,2014A&A...563A..40C,2,2,0.763,2.19,,
305,58-36-42-22__WASP_43_b_3.11469_4108_1.tbl,WASP-43 b,Eclipse,Wang et al. 2013,WIRCam,3.58m Canada-France-Hawaii Telescope (CFHT) at Mauna Kea Observatory,2013ApJ...770...70W,2,2,1.631,2.146,,
306,02-46-07-85__WASP_45_b_3.11471_3701_1.tbl,WASP-45 b,Transmission,Ciceri et al. 2016,DFOSC,Danish 1.54m telescope at European Southern Observatory,2016MNRAS.456..990C,1,1,0.6489,0.6489,,
307,90-11-82-85__WASP_45_b_3.11471_3701_3.tbl,WASP-45 b,Transmission,Ciceri et al. 2016,EulerCam,The Swiss Euler 1.2m Telescope,2016MNRAS.456..990C,1,1,0.6641,0.6641,,
308,65-93-89-64__WASP_45_b_3.11471_3701_2.tbl,WASP-45 b,Transmission,Ciceri et al. 2016,GROND,Max Planck Gesellschaft 2.2 meter Telescope at European Southern Observatory,2016MNRAS.456..990C,4,4,0.477,0.9134,,
309,43-84-56-17__WASP_46_b_3.11472_3701_3.tbl,WASP-46 b,Transmission,Ciceri et al. 2016,EFOSC2,New Techology Telescope,2016MNRAS.456..990C,1,1,0.5169,0.5169,,
310,90-44-55-07__WASP_46_b_3.11472_3701_2.tbl,WASP-46 b,Transmission,Ciceri et al. 2016,EulerCam,The Swiss Euler 1.2m Telescope,2016MNRAS.456..990C,1,1,0.6641,0.6641,,
311,80-75-99-70__WASP_48_b_3.11473_3531_1.tbl,WASP-48 b,Transmission,Ciceri et al. 2015,BFOSC,Cassini 1.52m Telescope,2015A&A...577A..54C,2,2,0.629,0.629,,
312,01-13-32-41__WASP_48_b_3.11473_3531_3.tbl,WASP-48 b,Transmission,Ciceri et al. 2015,DLR-MKIII camera,Calar Alto Observatory's 1.2 meter Telescope,2015A&A...577A..54C,4,4,0.6469,0.7886,,
313,40-91-59-43__WASP_4_b_3.11474_4092_1.tbl,WASP-4 b,Eclipse,C&aacute;ceres et al. 2011,ISAAC,European Southern Observatory (ESO) 8.2m Very Large Telescope (VLT) Melipal (UT3) at Paranal Observatory,2011A&A...530A...5C,1,1,2.2,2.2,,
314,47-92-99-57__WASP_4_b_3.11474_4122_1.tbl,WASP-4 b,Eclipse,Zhou et al. 2015,IRIS2,Australian National University (ANU) 3.9m Anglo-Australian Telescope (AAT) at Siding Spring Observatory (SSO),2015MNRAS.454.3002Z,1,1,2.159,2.159,,
315,56-02-67-21__WASP_4_b_3.11474_4001_1.tbl,WASP-4 b,Transmission,Hoyer et al. 2013,SOI,4.1m Southern Astrophysical Research (SOAR) Telescope at Cerro Pachon,2013MNRAS.434...46H,3,3,0.8665,0.8665,,
316,28-28-22-40__WASP_4_b_3.11474_4001_2.tbl,WASP-4 b,Transmission,Hoyer et al. 2013,Y4KCam,The Small and Medium Research Telescope System (SMARTS) Yale 1.0m Telescope at Cerro Tololo Inter-American Observatory (CTIO),2013MNRAS.434...46H,9,9,0.6469,0.8665,,
317,13-53-58-74__WASP_5_b_3.11476_4110_1.tbl,WASP-5 b,Eclipse,Baskin et al. 2013,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2013ApJ...773..124B,2,2,3.6,4.5,,
318,24-45-76-57__WASP_8_b_3.11479_4107_1.tbl,WASP-8 b,Eclipse,Cubillos et al. 2013,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2013ApJ...768...42C,3,3,3.6,8.0,,
319,85-66-26-05__XO_1_b_3.11480_4075_1.tbl,XO-1 b,Eclipse,Machalek et al. 2008,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2008ApJ...684.1427M,4,4,3.6,8.0,,
320,62-52-30-64__XO_1_b_3.11480_3649_1.tbl,XO-1 b,Transmission,Deming et al. 2013,Wide Field Camera 3,Hubble Space Telescope satellite,2013ApJ...774...95D,29,29,1.121,1.648,,
321,15-24-98-93__XO_1_b_3.11480_4247_1.tbl,XO-1 b,Transmission,Crouzet et al. 2012,Near Infrared Camera and Multi-Object Spectrometer,Hubble Space Telescope satellite,2012ApJ...761....7C,15,15,1.212,1.772,,
322,32-02-24-21__XO_2_N_b_3.11481_4080_1.tbl,XO-2 N b,Eclipse,Machalek et al. 2009,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2009ApJ...701..514M,4,4,3.6,8.0,,
323,81-52-89-98__XO_2_N_b_3.11481_4247_1.tbl,XO-2 N b,Transmission,Crouzet et al. 2012,Near Infrared Camera and Multi-Object Spectrometer,Hubble Space Telescope satellite,2012ApJ...761....7C,15,15,1.205,1.765,,
324,64-33-23-56__XO_3_b_3.11482_4085_1.tbl,XO-3 b,Eclipse,Machalek et al. 2010,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2010ApJ...711..111M,4,4,3.6,8.0,,
325,99-06-78-29__WASP_79_b_3.11520_4598_1.tbl,WASP-79 b,Transmission,Sotzen et al. 2020,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2020AJ....159....5S,2,2,3.56,4.5,,
326,32-60-64-12__WASP_79_b_3.11520_4598_2.tbl,WASP-79 b,Transmission,Sotzen et al. 2020,LDSS-3C,Carnegie Institution for Science (CIS) 6.5m Landon Clay Telescope at Las Campanas Observatory (LCO),2020AJ....159....5S,8,8,0.647,1.0,,
327,84-69-66-77__WASP_79_b_3.11520_4598_3.tbl,WASP-79 b,Transmission,Sotzen et al. 2020,TESS CCD Array,Transiting Exoplanet Survey Satellite,2020AJ....159....5S,1,1,0.808,0.808,,
328,96-71-66-88__KELT_1_b_3.11521_4113_2.tbl,KELT-1 b,Eclipse,Beatty et al. 2014,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2014ApJ...783..112B,2,2,3.6,4.5,,
329,17-50-30-35__KELT_1_b_3.11521_4126_1.tbl,KELT-1 b,Eclipse,Beatty et al. 2017,LUCI1,LBT Consortium Large Binocular Telescope (LBT) at Mount Graham International Observatory,2017AJ....154..242B,5,5,1.57,1.73,,
330,60-43-60-96__GJ_3470_b_3.11524_4359_1.tbl,GJ 3470 b,Eclipse,Benneke et al. 2019,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2019NatAs...3..813B,2,2,3.6,4.5,,
331,79-09-13-31__GJ_3470_b_3.11524_3413_10.tbl,GJ 3470 b,Transmission,Biddle et al. 2014,CCD-2 Direct Imaging Camera,Lick Observatory's 1m Nickel Telescope,2014MNRAS.443.1810B,3,3,0.9222,0.9222,,
332,66-45-47-17__WASP_57_b_3.11556_3659_2.tbl,WASP-57 b,Transmission,Southworth et al. 2015,BUSCA,Calar Alto Observatory's 2.2 meter Telescope,2015MNRAS.454.3094S,4,4,0.35,0.91,,
333,28-27-28-76__WASP_57_b_3.11556_3659_4.tbl,WASP-57 b,Transmission,Southworth et al. 2015,EulerCam,The Swiss Euler 1.2m Telescope,2015MNRAS.454.3094S,1,1,0.66,0.66,,
334,05-73-27-63__WASP_52_b_3.11565_3988_1.tbl,WASP-52 b,Transmission,Chen et al. 2017,OSIRIS,Gran Telescopio CANARIAS 10.4m telescope,2017A&A...600L..11C,26,26,0.5306,0.8945,,
335,89-71-73-72__WASP_80_b_3.11585_3542_1.tbl,WASP-80 b,Eclipse,Triaud et al. 2015,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2015MNRAS.450.2279T,2,2,3.6,4.5,,
336,11-86-26-89__WASP_80_b_3.11585_3542_5.tbl,WASP-80 b,Transmission,Triaud et al. 2015,GROND,Max Planck Gesellschaft 2.2 meter Telescope at European Southern Observatory,2015MNRAS.450.2279T,2,2,0.47,0.77,,
337,35-67-42-35__WASP_80_b_3.11585_3637_3.tbl,WASP-80 b,Transmission,Fukui et al. 2014,ISLE,National Astronomical Observatory of Japan's Okayama Astrophysical Observatory 1.88m Telescope,2014ApJ...790..108F,2,2,1.215,1.215,,
338,35-80-25-74__WASP_103_b_3.11649_3854_1.tbl,WASP-103 b,Transmission,Southworth &amp; Evans 2016,GROND,Max Planck Gesellschaft 2.2 meter Telescope at European Southern Observatory,2016MNRAS.463...37S,4,4,0.477,0.9134,,
339,87-46-18-45__WASP_103_b_3.11649_4124_1.tbl,WASP-103 b,Eclipse,Cartier et al. 2017,Wide Field Camera 3,Hubble Space Telescope satellite,2017AJ....153...34C,22,22,1.0806,1.6848,,
340,87-10-59-86__WASP_96_b_3.11667_4178_1.tbl,WASP-96 b,Transmission,Nikolov et al. 2018,FORS2,European Southern Observatory (ESO) 8.2m Very Large Telescope (VLT) Antu (UT1) at Paranal Observatory,2018Natur.557..526N,49,49,0.3756,0.7973,,
341,47-85-70-31__WASP_117_b_3.11700_4695_1.tbl,WASP-117 b,Transmission,Anisman et al. 2020,Wide Field Camera 3,Hubble Space Telescope satellite,2020AJ....160..233A,18,18,1.1262,1.6237,,
342,29-27-01-18__K2_3_c_3.11742_3773_1.tbl,K2-3 c,Transmission,Beichman et al. 2016,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2016ApJ...822...39B,1,1,4.5,4.5,,
343,79-33-18-21__K2_3_d_3.11743_3773_2.tbl,K2-3 d,Transmission,Beichman et al. 2016,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2016ApJ...822...39B,1,1,4.5,4.5,,
344,93-75-01-45__WASP_74_b_3.11772_4289_2.tbl,WASP-74 b,Transmission,Mancini et al. 2019,GROND,Max Planck Gesellschaft 2.2 meter Telescope at European Southern Observatory,2019MNRAS.485.5168M,7,7,0.459,2.17,,
345,52-38-19-41__K2_18_b_3.11793_4396_1.tbl,K2-18 b,Transmission,Tsiaras et al. 2019,Wide Field Camera 3,Hubble Space Telescope satellite,2019NatAs...3.1086T,17,17,1.156,1.606,,
346,15-60-67-80__K2_26_b_3.11845_3773_2.tbl,K2-26 b,Transmission,Beichman et al. 2016,Kepler CCD Array,The Kepler Mission,2016ApJ...822...39B,1,1,0.6,0.6,,
347,34-29-72-34__WASP_76_b_3.11846_4623_2.tbl,WASP-76 b,Transmission,Edwards et al. 2020,Wide Field Camera 3,Hubble Space Telescope satellite,2020AJ....160....8E,25,25,1.12625,1.62945,,
348,94-12-71-20__WASP_121_b_3.11900_4003_1.tbl,WASP-121 b,Eclipse,Evans et al. 2017,Wide Field Camera 3,Hubble Space Telescope satellite,2017Natur.548...58E,28,28,1.131,1.632,,
349,04-27-13-83__WASP_121_b_3.11900_4615_1.tbl,WASP-121 b,Transmission,Sing et al. 2019,Space Telescope Imaging Spectrograph,Hubble Space Telescope satellite,2019AJ....158...91S,5,5,0.2387,0.2986,,
350,96-62-58-39__WASP_127_b_3.11973_3990_1.tbl,WASP-127 b,Transmission,Palle et al. 2017,ALFOSC,Nordic Optical Telescope,2017A&A...602L..15P,23,23,0.425,0.875,,
351,62-24-60-89__KELT_11_b_3.12023_4692_2.tbl,KELT-11 b,Transmission,Col&oacute;n et al. 2020,Wide Field Camera 3,Hubble Space Telescope satellite,2020AJ....160..280C,21,21,1.137,1.637,,
352,94-06-86-48__KELT_9_b_3.12026_4614_1.tbl,KELT-9 b,Transmission,Turner et al. 2020,CARMENES,Max Planck Institute for Astronomy and Institute of Astrophysics of Andalusia (CSIC) 3.5m Telescope at Calar Alto Observatory,2020ApJ...888L..13T,4,4,0.65646,0.86645,,
353,31-27-74-29__WASP_107_b_3.12045_4177_1.tbl,WASP-107 b,Transmission,Spake et al. 2018,Wide Field Camera 3,Hubble Space Telescope satellite,2018Natur.557...68S,49,49,0.8916,1.616,,
354,22-36-54-32__GJ_486_b_3.12681_5146_3.tbl,GJ 486 b,Transmission,Moran et al. 2023,Near Infrared Spectrograph (NIRSpec),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,2023ApJ...948L..11M,47,47,2.865,5.119,,
355,37-07-99-71__Kepler_18_c_3.132_3665_2.tbl,Kepler-18 c,Transmission,D&eacute;sert et al. 2015,Kepler CCD Array,The Kepler Mission,2015ApJ...804...59D,1,1,0.6,0.6,,
356,38-68-17-85__Kepler_61_b_3.1497_3665_2.tbl,Kepler-61 b,Transmission,D&eacute;sert et al. 2015,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2015ApJ...804...59D,1,1,4.5,4.5,,
357,14-69-53-64__Kepler_13_A_b_3.155_4125_1.tbl,KOI-13 b,Eclipse,Beatty et al. 2017,Wide Field Camera 3,Hubble Space Telescope satellite,2017AJ....154..158B,15,15,1.142,1.632,2456776.234108,2456776.234131
358,52-42-32-02__Kepler_102_e_3.157_3665_2.tbl,Kepler-102 e,Transmission,D&eacute;sert et al. 2015,Kepler CCD Array,The Kepler Mission,2015ApJ...804...59D,1,1,0.6,0.6,,
359,25-23-32-66__Kepler_125_b_3.160_3665_1.tbl,Kepler-125 b,Transmission,D&eacute;sert et al. 2015,Kepler CCD Array,The Kepler Mission,2015ApJ...804...59D,1,1,0.6,0.6,,
360,37-78-37-49__Kepler_125_b_3.160_3665_2.tbl,Kepler-125 b,Transmission,D&eacute;sert et al. 2015,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2015ApJ...804...59D,2,2,4.5,4.5,,
361,35-66-08-92__Kepler_62_e_3.1785_3665_1.tbl,Kepler-62 e,Transmission,D&eacute;sert et al. 2015,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2015ApJ...804...59D,1,1,4.5,4.5,,
362,25-20-00-62__Kepler_249_d_3.1799_3665_1.tbl,Kepler-249 d,Transmission,D&eacute;sert et al. 2015,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2015ApJ...804...59D,3,3,4.5,4.5,,
363,59-85-91-12__KOI_94_d_3.18_3665_2.tbl,KOI-94 d,Transmission,D&eacute;sert et al. 2015,Kepler CCD Array,The Kepler Mission,2015ApJ...804...59D,1,1,0.6,0.6,,
364,15-01-31-40__Kepler_61_b_3.1497_3665_1.tbl,Kepler-61 b,Transmission,D&eacute;sert et al. 2015,Kepler CCD Array,The Kepler Mission,2015ApJ...804...59D,1,1,0.6,0.6,,
365,47-75-65-24__Kepler_26_c_3.203_3665_2.tbl,Kepler-26 c,Transmission,D&eacute;sert et al. 2015,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2015ApJ...804...59D,3,3,4.5,4.5,,
366,89-09-94-43__Kepler_236_c_3.448_3665_1.tbl,Kepler-236 c,Transmission,D&eacute;sert et al. 2015,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2015ApJ...804...59D,2,2,4.5,4.5,,
367,63-58-64-23__HD_189733_b_3.11185_3590_3.tbl,HD 189733 b,Transmission,Pont et al. 2013,Multiband Imaging Photometer (MIPS),Spitzer Space Telescope satellite,2013MNRAS.432.2917P,1,1,24.0,24.0,,
368,36-94-31-60__55_Cnc_e_3.10924_4102_1.tbl,55 Cnc e,Eclipse,Demory et al. 2012,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2012ApJ...751L..28D,1,1,4.5,4.5,,
369,27-26-74-71__55_Cnc_e_3.10924_3724_1.tbl,55 Cnc e,Eclipse,Demory et al. 2016,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2016MNRAS.455.2018D,2,2,4.5,4.5,,
370,34-62-75-84__55_Cnc_e_3.10924_3696_1.tbl,55 Cnc e,Transmission,Demory et al. 2011,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2011A&A...533A.114D,1,1,4.5,4.5,,
371,02-15-51-07__CoRoT_1_b_3.10951_3622_1.tbl,CoRoT-1 b,Transmission,Ranjan et al. 2014,WFC3,Hubble Space Telescope satellite,2014ApJ...785..148R,10,10,1.144,1.59,,
372,60-73-74-39__CoRoT_2_b_3.10954_4081_1.tbl,CoRoT-2 b,Eclipse,Alonso et al. 2010,LIRIS,Isaac Newton Group (ING) 4.2m William Herschel Telescope (WHT) at Observatorio del Roque de los Muchachos,2010AJ....139.1481A,1,1,2.15,2.15,,
373,00-62-76-21__GJ_1214_b_3.10969_3419_1.tbl,GJ 1214 b,Transmission,Wilson et al. 2014,OSIRIS,Gran Telescopio CANARIAS 10.4m telescope,2014MNRAS.438.2395W,8,8,0.81,0.88496,,
374,78-55-02-74__GJ_1214_b_3.10969_3663_4.tbl,GJ 1214 b,Transmission,de Mooij et al. 2012,WFC,Isaac Newton Group's Isaac Newton Telescope,2012A&A...538A..46D,2,2,0.63,0.82,,
375,82-25-70-11__GJ_1214_b_3.10969_3940_1.tbl,GJ 1214 b,Transmission,Rackham et al. 2017,IMACS spectrograph,Magellan I Walter Baade Telescope,2017ApJ...834..151R,14,14,0.5078,0.9162,,
376,22-30-43-84__GJ_436_b_3.10974_3422_1.tbl,GJ 436 b,Transmission,Knutson et al. 2014,Wide Field Camera 3,Hubble Space Telescope satellite,2014Natur.505...66K,28,28,1.136,1.645,,
377,92-26-54-03__GJ_436_b_3.10974_3635_1.tbl,GJ 436 b,Transmission,Knutson et al. 2011,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2011ApJ...735...27K,8,8,3.6,8.0,,
378,45-19-82-82__HAT_P_12_b_3.10993_3675_3.tbl,HAT-P-12 b,Transmission,Mallonn et al. 2015,Keplercam,Fred Lawrence Whipple Observatory's 1.2 meter Telescope,2015A&A...583A.138M,1,1,0.9222,0.9222,,
379,48-54-85-55__HAT_P_12_b_3.10993_3675_5.tbl,HAT-P-12 b,Transmission,Mallonn et al. 2015,StanCam,Nordic Optical Telescope,2015A&A...583A.138M,1,1,0.429,0.429,,
380,15-38-48-31__HAT_P_12_b_3.10993_3675_1.tbl,HAT-P-12 b,Transmission,Mallonn et al. 2015,WiFSIP,STELLA Robotic Observatory,2015A&A...583A.138M,2,2,0.5477,0.7698,,
381,59-53-57-59__HAT_P_12_b_3.10993_3717_3.tbl,HAT-P-12 b,Transmission,Sing et al. 2016,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2016Natur.529...59S,2,2,3.56,4.5,,
382,00-75-95-30__HAT_P_12_b_3.10993_4708_2.tbl,HAT-P-12 b,Transmission,Yan et al. 2020,MODS1,Large Binocular Telescope Observatory,2020A&A...642A..98Y,17,17,0.395,0.945,,
383,51-43-02-28__HAT_P_13_b_3.10994_3796_1.tbl,HAT-P-13 b,Eclipse,Buhler et al. 2016,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2016ApJ...821...26B,2,2,3.6,4.5,,
384,80-32-97-42__HAT_P_14_b_3.10996_3790_5.tbl,HAT-P-14 b,Transmission,Fukui et al. 2016,AFOSC,Asiago Observatory's Copernico Telescope,2016ApJ...819...27F,1,1,0.648,0.648,,
385,37-14-13-20__HAT_P_14_b_3.10996_3790_3.tbl,HAT-P-14 b,Transmission,Fukui et al. 2016,MuSCAT,National Astronomical Observatory of Japan's Okayama Astrophysical Observatory 1.88m Telescope,2016ApJ...819...27F,3,3,0.479,0.869,,
386,37-91-74-94__HAT_P_14_b_3.10996_3790_1.tbl,HAT-P-14 b,Transmission,Fukui et al. 2016,Spectral camera,Faulkes Telescope North,2016ApJ...819...27F,1,1,0.87,0.87,,
387,01-25-57-37__HAT_P_19_b_3.11002_4121_1.tbl,HAT-P-19 b,Eclipse,Kammer et al. 2015,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2015ApJ...810..118K,2,2,3.6,4.5,,
388,99-36-32-72__HAT_P_19_b_3.11002_3935_1.tbl,HAT-P-19 b,Transmission,Mallonn et al. 2015,WiFSIP,STELLA Robotic Observatory,2015A&A...580A..60M,57,57,0.5641,0.7642,,
389,99-66-53-40__HAT_P_1_b_3.11003_4082_1.tbl,HAT-P-1 b,Eclipse,Todorov et al. 2010,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,2010ApJ...708..498T,4,4,3.6,8.0,,
