spec_id,file,pl_name,spec_type,authors,instrument,facility,bibcode,n_points,n_usable,wave_min,wave_max,obs_date_min,obs_date_max
169,06-69-78-74__HAT_P_4_b_3.11024_3153_1.tbl,HAT-P-4 b,Eclipse,Christiansen et al. 2011,High Resolution Imager (HRI),Deep Impact spacecraft,2011ApJ...726...94C,1,1,0.65,0.65,,
170,36-05-64-60__WASP_39_b_3.11466_4132_1.tbl,WASP-39 b,Transmission,Wakeford et al. 2018,Wide Field Camera 3,Hubble Space Telescope satellite,2018AJ....155...29W,36,36,0.8225,1.6435,,
171,34-24-95-24__WASP_39_b_3.11466_4988_1.tbl,WASP-39 b,Transmission,JWST Transiting Exoplanet Community ERS Team 2022,Near Infrared Spectrograph (NIRSpec),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,2022arXiv220811692T,94,94,3.0085,5.288,,
172,44-68-81-89__WASP_39_b_3.11466_4988_3.tbl,WASP-39 b,Transmission,JWST Transiting Exoplanet Community ERS Team 2022,Near Infrared Spectrograph (NIRSpec),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,2022arXiv220811692T,67,67,3.017,5.465,,
173,90-40-28-43__WASP_39_b_3.11466_5077_1.tbl,WASP-39 b,Transmission,Alderson et al. 2023,Near Infrared Spectrograph (NIRSpec) - G395H,NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,2023Natur.614..664A,344,344,2.76293,5.16907,,
174,53-37-43-83__WASP_3_b_3.11467_4101_1.tbl,WASP-3 b,Eclipse,Zhao et al. 2012,Wide-field InfraRed Camera (WIRC),California Institute of Technology 5.1m (200inch) Hale Telescope at Palomar Observatory,2012ApJ...748L...8Z,1,1,2.15,2.15,,
175,50-50-36-69__WASP_43_b_3.11469_3423_1.tbl,WASP-43 b,Transmission,Murgas et al. 2014,OSIRIS,Gran Telescopio CANARIAS 10.4m telescope,2014A&A...563A..41M,36,36,0.5425,0.9175,,
176,01-98-70-86__WASP_43_b_3.11469_3425_2.tbl,WASP-43 b,Transmission,Chen et al. 2014,GROND,Max Planck Gesellschaft 2.2 meter Telescope at European Southern Observatory,2014A&A...563A..40C,7,7,0.575,2.19,,
177,58-39-42-16__WASP_43_b_3.11469_3491_2.tbl,WASP-43 b,Transmission,Ricci et al. 2015,RATIR,Observatorio Astronomico Nacional's Harold Johnson Telescope,2015PASP..127..143R,1,1,0.76,0.76,,
178,91-63-78-00__WASP_43_b_3.11469_3830_1.tbl,WASP-43 b,Transmission,Hoyer et al. 2016,CAMELOT,Observatorio del Teide's 0.8 meter Telescope,2016AJ....151..137H,1,1,0.6273,0.6273,,
179,51-66-22-48__WASP_43_b_3.11469_4097_1.tbl,WASP-43 b,Eclipse,Gillon et al. 2012,HAWK-I,European Southern Observatory (ESO) 8.2m Very Large Telescope (VLT) Yepun at Paranal Observatory,2012A&A...542A...4G,2,2,1.186,2.095,,
180,73-18-86-45__GJ_3470_b_3.11524_3413_12.tbl,GJ 3470 b,Transmission,Biddle et al. 2014,ISLE,National Astronomical Observatory of Japan's Okayama Astrophysical Observatory 1.88m Telescope,2014MNRAS.443.1810B,1,1,1.215,1.215,,
