t_bmjd,flux,model_sym,model_asym,ramp,res_sym
60873.03188103944,1.0005213609266779,1.0005120154523999,1.0005107560573394,1.0005120154523999,9.345474277999699e-06
60873.03196480459,1.0005258360721059,1.0005163636410555,1.0005151132970105,1.0005163636410555,9.472431050427943e-06
60873.032048569745,1.0017912666944628,1.0005206837630811,1.0005194424618475,1.0005206837630811,0.001270582931381714
60873.03213233488,1.0009199019722086,1.000524975938247,1.0005237436714565,1.000524975938247,0.00039492603396151793
60873.03221610004,1.0012119073962225,1.0005292402880739,1.0005280170472004,1.0005292402880739,0.0006826671081485713
60873.03229986518,1.0010328200016059,1.000533476930995,1.0005322627073514,1.000533476930995,0.0004993430706108359
60873.03238363033,1.0010160492847626,1.0005376859864508,1.0005364807711923,1.0005376859864508,0.00047836329831185687
60873.03246739548,1.0007174174677052,1.0005418675733948,1.0005406713575205,1.0005418675733948,0.00017554989431034507
60873.03255116063,1.000532633447679,1.0005460218092157,1.000544834583569,1.0005460218092157,-1.338836153674805e-05
60873.03263492578,1.0013787542064443,1.0005501488122777,1.0005489705675492,1.0005501488122777,0.000828605394166626
60873.03271869093,1.0004344245191845,1.0005542486990338,1.0005530794257609,1.0005542486990338,-0.00011982417984923721
60873.03280245607,1.001550105307335,1.000558321586544,1.0005571612751134,1.000558321586544,0.0009917837207911173
60873.03288622123,1.0008159077437455,1.0005623675913908,1.0005612162320416,1.0005623675913908,0.00025354015235468097
60873.03296998637,1.0017974406276877,1.0005663868286374,1.0005652444114588,1.0005663868286374,0.0012310537990503079
60873.03305375152,1.0003944324031973,1.000570379413938,1.0005692459288733,1.000570379413938,-0.00017594701074075125
60873.03313751667,1.0005203013474908,1.0005743454624756,1.0005732208993243,1.0005743454624756,-5.4044114984774794e-05
60873.03322128182,1.0006431619488323,1.0005782850879401,1.0005771694363552,1.0005782850879401,6.487686089218236e-05
60873.03330504696,1.0016054704435342,1.000582198404597,1.0005810916540914,1.000582198404597,0.0010232720389371508
60873.03338881212,1.0009601074639431,1.0005860855262465,1.0005849876661916,1.0005860855262465,0.0003740219376966447
60873.03347257727,1.0000682508021932,1.0005899465655554,1.0005888575851827,1.0005899465655554,-0.000521695763362251
60873.03355634241,1.0007148510900572,1.000593781634415,1.0005927015228162,1.000593781634415,0.00012106945564216431
60873.03364010756,1.0005038582746024,1.0005975908462614,1.0005965195923938,1.0005975908462614,-9.373257165901094e-05
60873.033723872715,1.001255086329624,1.0006013743120798,1.0006003119047644,1.0006013743120798,0.0006537120175440503
60873.033807637854,1.000590265214784,1.0006051321424265,1.0006040785703476,1.0006051321424265,-1.4866927642520622e-05
60873.03389140301,1.0004025220819595,1.000608864449367,1.0006078197010788,1.000608864449367,-0.0002063423674074638
60873.03397516816,1.0005787470617922,1.0006125713425629,1.0006115354064864,1.0006125713425629,-3.38242807707001e-05
60873.03405893331,1.0005298813270311,1.0006162529315685,1.0006152257959942,1.0006162529315685,-8.637160453739412e-05
60873.03414269845,1.0004349202617782,1.0006199093261405,1.0006188909792295,1.0006199093261405,-0.00018498906436237306
60873.034226463606,1.0000806350013036,1.000623540635587,1.0006225310653738,1.000623540635587,-0.000542905634283386
60873.03431022875,1.0007132236823932,1.0006271469678343,1.0006261461622252,1.0006271469678343,8.607671455895805e-05
60873.0343939939,1.0018215874469862,1.000630728431321,1.0006297363780976,1.000630728431321,0.001190859015665291
60873.03447775905,1.0008182683132136,1.0006342851340424,1.0006333018208629,1.0006342851340424,0.00018398317917123208
60873.0345615242,1.000249464733409,1.0006378171826373,1.0006368425970353,1.0006378171826373,-0.0003883524492283019
60873.03464528934,1.001632155291117,1.0006413246842416,1.00064035881363,1.0006413246842416,0.0009908306068753259
60873.034729054496,1.0017997447804061,1.0006448077455543,1.0006438505772266,1.0006448077455543,0.0011549370348518107
60873.03481281964,1.0007054545182783,1.0006482664719414,1.0006473179930702,1.0006482664719414,5.7188046336920095e-05
60873.03489658479,1.000517474495798,1.0006517009692526,1.0006507611668929,1.0006517009692526,-0.00013422647345451288
60873.03498034994,1.0005581900196931,1.0006551113429056,1.0006541802039968,1.0006551113429056,-9.692132321248437e-05
60873.03506411509,1.0005165925148016,1.0006584976970092,1.0006575752083735,1.0006584976970092,-0.00014190518220758008
60873.03514788024,1.0011070286119366,1.0006618601364328,1.0006609462847795,1.0006618601364328,0.0004451684755037988
60873.03523164539,1.0020102582469452,1.0006651987644553,1.0006642935363785,1.0006651987644553,0.0013450594824899742
60873.03531541053,1.0002811097149271,1.0006685136848161,1.0006676170667992,1.0006685136848161,-0.0003874039698890108
60873.035399175686,0.9995341674224331,1.000671805000832,1.000670916979248,1.000671805000832,-0.00113763757839902
60873.03548294083,1.0007749787780882,1.0006750728145495,1.0006741933756602,1.0006750728145495,9.990596353870451e-05
60873.03556670598,1.0015268725879487,1.0006783172284623,1.0006774463584218,1.0006783172284623,0.0008485553594863582
60873.03565047113,1.000896685443203,1.0006815383446463,1.000680676029502,1.0006815383446463,0.00021514709855674496
60873.03573423628,1.00168694319436,1.0006847362639306,1.0006838824896218,1.0006847362639306,0.0010022069304294057
60873.03581800142,1.0005958088973173,1.000687911087578,1.00068706583994,1.000687911087578,-9.21021902606789e-05
60873.035901766576,1.000395943161692,1.000691062916438,1.0006902261812027,1.000691062916438,-0.0002951197547460538
60873.03598553172,1.000325925335483,1.000694191850138,1.0006933636129325,1.000694191850138,-0.00036826651465493576
60873.03606929687,1.000671773999739,1.0006972979887243,1.0006964782350745,1.0006972979887243,-2.552398898525432e-05
60873.03615306202,1.0017859825944637,1.0007003814318354,1.000699570147168,1.0007003814318354,0.0010856011626283468
60873.03623682717,1.000495371915852,1.0007034422779093,1.0007026394475493,1.0007034422779093,-0.0002080703620572777
60873.03632059231,1.0011432460153484,1.0007064806257917,1.000705686234966,1.0007064806257917,0.00043676538955672584
60873.03640435747,1.0008222047581252,1.000709496573924,1.0007087106077637,1.000709496573924,0.00011270818420117124
60873.03648812261,1.000721611922227,1.00071249021957,1.0007117126631078,1.00071249021957,9.121702656988973e-06
60873.03657188776,1.0016719310723545,1.0007154616603882,1.0007146924985617,1.0007154616603882,0.0009564694119663653
60873.03665565291,1.0009413473397826,1.0007184109936385,1.0007176502112922,1.0007184109936385,0.00022293634614412028
60873.03673941806,1.0007237467461647,1.0007213383154239,1.0007205858973076,1.0007213383154239,2.408430740841183e-06
60873.0368231832,1.0009972398575346,1.0007242437222297,1.0007234996530023,1.0007242437222297,0.00027299613530495925
60873.03690694836,1.0011691836698922,1.000727127310148,1.0007263915743767,1.000727127310148,0.0004420563597442584
60873.0369907135,1.0019390093542009,1.0007299891741355,1.0007292617562973,1.0007299891741355,0.0012090201800654121
60873.03707447865,1.001227602495805,1.000732829409519,1.0007321102940012,1.000732829409519,0.0004947730862858712
60873.0371582438,0.9999757051037055,1.000735648111236,1.0007349372823395,1.000735648111236,-0.0007599430075304614
60873.03724200895,1.0014747736045195,1.0007384453731112,1.0007377428150475,1.0007384453731112,0.0007363282314083452
60873.037325774094,0.9999233628526031,1.0007412212893259,1.0007405269862222,1.0007412212893259,-0.0008178584367227737
60873.03740953924,1.0007343410501275,1.0007439759534393,1.000743289889337,1.0007439759534393,-9.634903311850351e-06
60873.03749330439,1.0024492828501752,1.000746709458872,1.0007460316177288,1.000746709458872,0.001702573391303197
60873.03757706954,1.000251624391128,1.0007494218979593,1.0007487522636491,1.0007494218979593,-0.0004977975068314322
60873.037660834685,1.00076914267995,1.0007521133633772,1.0007514519196923,1.0007521133633772,1.702931657288076e-05
60873.03774459984,1.0005835991325704,1.0007547839474247,1.0007541306780765,1.0007547839474247,-0.00017118481485423054
60873.03782836499,1.001311403357423,1.0007574337415646,1.000756788630184,1.0007574337415646,0.0005539696158585183
60873.03791213013,1.0012012756921471,1.0007600628366726,1.00075942586681,1.0007600628366726,0.0004412128554744932
60873.03799589528,1.0012890214967842,1.0007626713246265,1.000762042479756,1.0007626713246265,0.0005263501721577413
60873.03807966044,0.9999335193982932,1.0007652592955665,1.000764638559085,1.0007652592955665,-0.0008317398972732537
60873.038163425575,1.0012341110120537,1.0007678268392848,1.0007672141945096,1.0007678268392848,0.0004662841727689493
60873.03824719073,1.0007939058597277,1.0007703740465477,1.0007697694767241,1.0007703740465477,2.353181318004438e-05
60873.03833095588,0.9997986010928549,1.0007729010064208,1.000772304494718,1.0007729010064208,-0.0009742999135659014
60873.03841472102,1.0015710830035716,1.0007754078076248,1.0007748193371375,1.0007754078076248,0.00079567519594681
60873.038498486174,1.0004844315177035,1.0007778945398282,1.0007773140935807,1.0007778945398282,-0.0002934630221247403
60873.03858225133,1.0009728811538445,1.0007803612910349,1.0007797888519783,1.0007803612910349,0.00019251986280965916
60873.038666016466,1.0010040226053871,1.0007828081489076,1.0007822436999205,1.0007828081489076,0.00022121445647949045
60873.03874978162,1.00129456215113,1.0007852352020297,1.000784678725924,1.0007852352020297,0.0005093269491003305
60873.03883354677,1.0004600657193157,1.0007876425373556,1.0007870940168724,1.0007876425373556,-0.0003275768180399652
60873.03891731191,1.001637882948701,1.0007900302415034,1.0007894896593141,1.0007900302415034,0.0008478527071975606
60873.039001077064,0.9998755835265758,1.0007923984019842,1.0007918657406953,1.0007923984019842,-0.0009168148754084005
60873.03908484222,1.0005074246740933,1.0007947471047158,1.0007942223468664,1.0007947471047158,-0.0002873224306225719
60873.039168607356,0.9997440793537804,1.0007970764352834,1.000796559563345,1.0007970764352834,-0.001052997081502971
60873.03925237251,1.001415611576344,1.000799386480139,1.000798877476522,1.000799386480139,0.0006162250962049587
60873.03933613766,1.0008283375499643,1.0008016773241764,1.000801176171225,1.0008016773241764,2.666022578790006e-05
60873.0394199028,1.0007916987598657,1.0008039490519602,1.0008034557319543,1.0008039490519602,-1.2250292094506676e-05
60873.039503667955,1.000591259707467,1.0008062017488966,1.0008057162440567,1.0008062017488966,-0.0002149420414294667
60873.03958743311,0.9999940210089175,1.0008084354988667,1.0008079577913505,1.0008084354988667,-0.0008144144899491224
60873.03967119825,1.0014279314888936,1.0008106503854273,1.0008101804573304,1.0008106503854273,0.0006172811034663717
60873.0397549634,1.0013978884404104,1.0008128464929504,1.0008123843263117,1.0008128464929504,0.0005850419474600077
60873.03983872855,0.999801996578428,1.0008150239043176,1.000814569481116,1.0008150239043176,-0.0010130273258895928
60873.03992249369,1.0009029041122937,1.0008171827020895,1.0008167360042428,1.0008171827020895,8.572141020413149e-05
60873.040006258845,1.0017067490350495,1.000819322969617,1.00081888397899,1.000819322969617,0.0008874260654325727
60873.040090024,0.9999556806067528,1.0008214447887935,1.0008210134871929,1.0008214447887935,-0.0008657641820407624
60873.04017378914,1.0005632882004283,1.0008235482411953,1.0008231246103703,1.0008235482411953,-0.00026026004076706855
60873.04025755429,1.0015010192523377,1.0008256334091645,1.0008252174308123,1.0008256334091645,0.0006753858431731707
60873.04034131944,1.0005791259115546,1.000827700373618,1.0008272920293804,1.000827700373618,-0.00024857446206327793
60873.04042508458,1.0024308842068053,1.0008297492151603,1.0008293484866235,1.0008297492151603,0.0016011349916449369
60873.040508849735,0.9999230148962456,1.0008317800151363,1.0008313868838377,1.0008317800151363,-0.0009087651188907087
