t_bmjd,flux,model_sym,model_asym,ramp,res_sym
60008.54145845365,0.9999937467196144,1.0003776724167532,1.0003777510141798,1.0003776724167532,-0.00038392569713885383
60008.54161529233,0.99968212139829,1.0003761502464839,1.0003762294747454,1.0003761502464839,-0.0006940288481938062
60008.54177213099,1.0002577272934854,1.0003746310015678,1.000374710856599,1.0003746310015678,-0.00011690370808237205
60008.541928969666,1.0004904183009269,1.0003731146817931,1.0003731951595292,1.0003731146817931,0.00011730361913375731
60008.542085808345,1.000659068563284,1.0003716012871606,1.000371682383536,1.0003716012871606,0.0002874672761232766
60008.54224264701,1.0002616959988453,1.0003700908178803,1.0003701725288303,1.0003700908178803,-0.00010839481903501813
60008.54239948569,1.0006949709169422,1.0003685832736724,1.0003686655951318,1.0003685832736724,0.00032638764326975434
60008.54255632437,1.0000882800475264,1.0003670786546766,1.0003671615825807,1.0003670786546766,-0.000278798607150188
60008.54271316303,1.000284987436959,1.0003655769611022,1.0003656604913855,1.0003655769611022,-8.058952414313758e-05
60008.54287000171,1.0003423802299325,1.0003640781925307,1.0003641623211286,1.0003640781925307,-2.1697962598210552e-05
60008.54302684039,0.9999484002710274,1.0003625823491715,1.000362667072019,1.0003625823491715,-0.000414182078144143
60008.54318367905,1.0004784737636012,1.0003610894311634,1.0003611747441952,1.0003610894311634,0.00011738433243779767
60008.54334051773,1.0003866947202527,1.0003595994382288,1.00035968533738,1.0003595994382288,2.7095282023825717e-05
60008.543497356404,1.000089288862391,1.0003581123705756,1.0003581988517811,1.0003581123705756,-0.00026882350818469014
60008.54365419507,1.0001187911705425,1.000356628228203,1.0003567152873978,1.000356628228203,-0.0002378370576605615
60008.54381103375,1.0007556175240777,1.0003551470109053,1.000355234644024,1.0003551470109053,0.0004004705131723796
60008.54396787242,0.9996964669915149,1.0003536687188883,1.0003537569218663,1.0003536687188883,-0.0006572017273733799
60008.54412471109,1.0000614762390685,1.000352193352152,1.000352282120924,1.000352193352152,-0.0002907171130834829
60008.544281549766,1.0005902162677645,1.0003507209104907,1.0003508102409921,1.0003507209104907,0.0002394953572737446
60008.54443838844,1.0012179513057828,1.0003492513941104,1.0003493412822757,1.0003492513941104,0.0008686999116724881
60008.54459522711,0.9999598494100596,1.0003477848029418,1.0003478752447061,1.0003477848029418,-0.0003879353928822882
60008.54475206579,0.9996590303462896,1.0003463211369175,1.0003464121282157,1.0003463211369175,-0.0006872907906279035
60008.544908904456,1.0005277352482493,1.000344860396241,1.0003449519330083,1.000344860396241,0.00018287485200829678
60008.54506574313,1.0006418554537582,1.0003434025807088,1.00034349465888,1.0003434025807088,0.00029845287304941515
60008.54522258181,1.000400618536082,1.0003419476903213,1.0003420403058314,1.0003419476903213,5.8670845760833146e-05
60008.54537942047,1.0001690522598647,1.0003404957252806,1.0003405888740646,1.0003404957252806,-0.00017144346541586586
60008.545536259146,1.000481604327374,1.0003390466853848,1.0003391403633775,1.0003390466853848,0.00014255764198933818
60008.545693097825,1.0009799581505863,1.000337600570634,1.0003376947737703,1.000337600570634,0.0006423575799523462
60008.54584993649,1.0006732702140564,1.0003361573812293,1.0003362521054444,1.0003361573812293,0.00033711283282711335
60008.54600677517,1.0003132523053038,1.0003347171169028,1.000334812358132,1.0003347171169028,-2.1464811599036793e-05
60008.54616361384,1.0002181357224749,1.0003332797778555,1.0003333755320332,1.0003332797778555,-0.00011514405538060046
60008.54632045251,1.00004670529039,1.0003318453640866,1.000331941627148,1.0003318453640866,-0.0002851400736965104
60008.54647729119,1.0000274275559606,1.000330413875397,1.000330510643277,1.000330413875397,-0.00030298631943637133
60008.54663412985,0.9998947806617311,1.000328985312052,1.0003290825806854,1.000328985312052,-0.00043420465032095734
60008.546790968525,1.0000360010711296,1.000327559673853,1.0003276574391748,1.000327559673853,-0.0002915586027234518
60008.546947807205,1.0005871804411905,1.0003261369608003,1.0003262352187456,1.0003261369608003,0.00026104348039024394
60008.54710464588,0.9998088607534462,1.0003247171730256,1.0003248159195293,1.0003247171730256,-0.000515856419579408
60008.54726148454,1.0000590990005305,1.0003233003105287,1.0003233995415257,1.0003233003105287,-0.00026420130999826874
60008.54741832322,1.000491319311306,1.0003218863731125,1.000321986084538,1.0003218863731125,0.00016943293819360328
60008.547575161894,0.999827569290863,1.000320475360974,1.0003205755487627,1.000320475360974,-0.0004929060701109877
60008.54773200056,1.0001534315844631,1.000319067274113,1.0003191679341998,1.000319067274113,-0.00016563568964977904
60008.54788883924,0.9998267098151611,1.0003176621123333,1.0003177632406537,1.0003176621123333,-0.0004909522971722202
60008.548045677904,1.0002454071770535,1.0003162598758963,1.0003163614683848,1.0003162598758963,-7.085269884288259e-05
60008.548202516584,1.000660924443383,1.0003148605645413,1.000314962617133,1.0003148605645413,0.0003460638788417292
60008.548359355256,1.000291459283571,1.0003134641784632,1.0003135666870933,1.0003134641784632,-2.2004894892235782e-05
