t_bmjd,flux,model_sym,model_asym,ramp,res_sym
60991.69168968201,1.0006523938017007,1.0007627541168997,1.0007617620756097,1.0007627541168997,-0.00011036031519906508
60991.691773433864,1.0003423041069543,1.0007616195496634,1.0007606272798382,1.0007616195496634,-0.0004193154427090118
60991.6918571857,1.001122825305283,1.0007604857461623,1.0007594932501322,1.0007604857461623,0.0003623395591207945
60991.691940937555,1.0012657347660598,1.0007593527060024,1.0007583599860976,1.0007593527060024,0.0005063820600574864
60991.69202468939,1.0000365974602243,1.0007582204295775,1.000757227488129,1.0007582204295775,-0.0007216229693531861
60991.69210844124,1.0008601147897023,1.0007570889165922,1.0007560957559303,1.0007570889165922,0.00010302587311006306
60991.69219219308,0.9996403089568868,1.0007559581672432,1.0007549647896985,1.0007559581672432,-0.0011156492103563398
60991.69227594493,1.0015079991029017,1.000754828181236,1.000753834589139,1.000754828181236,0.0007531709216657134
60991.69235969677,1.000907095056798,1.0007536989589634,1.0007527051546443,1.0007536989589634,0.00015339609783460162
60991.69244344862,1.0001358572156396,1.0007525705000324,1.0007515764858221,1.0007525705000324,-0.0006167132843928336
60991.69252720046,1.0015344493377054,1.0007514428048356,1.0007504485830645,1.0007514428048356,0.0007830065328697788
60991.69261095231,1.0015686313125198,1.0007503158729811,1.0007493214459795,1.0007503158729811,0.0008183154395386971
60991.69269470415,1.000812890609261,1.0007491897048604,1.000748195074959,1.0007491897048604,6.370090440066534e-05
60991.692778456,1.0007325798569444,1.0007480643000826,1.0007470694696114,1.0007480643000826,-1.548444313814734e-05
60991.692862207834,1.0007573197012434,1.0007469396591355,1.0007459446304259,1.0007469396591355,1.0380042107849263e-05
60991.69294595969,1.0001359071891924,1.0007458157814335,1.0007448205568157,1.0007458157814335,-0.0006099085922410818
60991.693029711525,1.0006422443426704,1.0007446926674652,1.0007436972492694,1.0007446926674652,-0.00010244832479489041
60991.69311346338,1.000792295229042,1.0007435703168397,1.0007425747073966,1.0007435703168397,4.8724912202313675e-05
60991.69319721522,1.0012058839599636,1.00074244872985,1.00074145293149,1.00074244872985,0.0004634352301136069
60991.69328096707,1.0015619509558484,1.0007413279063981,1.0007403319214518,1.0007413279063981,0.0008206230494502975
60991.693364718914,1.0005212534153003,1.0007402078464847,1.0007392116772826,1.0007402078464847,-0.00021895443118435942
60991.69344847076,1.000804358995258,1.0007390885501093,1.0007380921989817,1.0007390885501093,6.527044514870184e-05
60991.6935322226,1.0005596068074551,1.000737970017369,1.0007369734866467,1.000737970017369,-0.00017836320991393428
60991.693615974444,1.000263051826696,1.0007368522480697,1.0007358555400832,1.0007368522480697,-0.0004738004213737934
60991.6936997263,1.0011225128396013,1.0007357352422117,1.0007347383592913,1.0007357352422117,0.00038677759738958706
60991.693783478135,1.0000589283620092,1.0007346190000856,1.000733621944562,1.0007346190000856,-0.0006756906380764871
60991.69386722999,1.0008933258110273,1.0007335035213036,1.000732506295507,1.0007335035213036,0.00015982228972366563
60991.693950981826,1.0010230083297558,1.0007323888062536,1.0007313914125149,1.0007323888062536,0.000290619523502178
60991.69403473368,1.0004326678890005,1.0007312748545483,1.0007302772951978,1.0007312748545483,-0.0002986069655477319
60991.69411848552,1.0002401869771609,1.0007301616665745,1.0007291639439426,1.0007301616665745,-0.0004899746894135859
60991.69420223736,0.9995300485468854,1.000729049242042,1.0007280513584595,1.000729049242042,-0.001199000695156549
60991.6942859892,0.9999608304904418,1.000727937581144,1.0007269395389413,1.000727937581144,-0.0007671070907021571
60991.69436974105,0.9989622144994825,1.0007268266835914,1.0007258284850988,1.0007268266835914,-0.001764612184108838
60991.69445349289,0.9992960305165346,1.0007257165497696,1.000724718197318,1.0007257165497696,-0.0014296860332350114
