target,planet,visit,det,n_fits,sigma_cal_ppm,sigma_cal_resid_ppm,bias_slope,bias_intercept_ppm,dd_obs_ppm,cal_vs_boot,cal_vs_beta,ul95_abs_dd_ppm
GJ-1132,GJ 1132 b,jw01981021001,nrs1,90,88.92127568568614,92.72596090941951,1.0133010674760023,6.920742339554343,-12.705860538788238,0.8682198195740698,0.5490074532536651,158.98135904174194
GJ-1132,GJ 1132 b,jw01981021001,nrs2,90,59.629883403269965,78.96669658987759,0.9125102147389909,32.46564421755627,158.12116456575012,0.730063377141122,0.626552153275516,256.2123227641292
GJ-1132,GJ 1132 b,jw01981022001,nrs1,90,45.54131243869679,38.876044194850664,1.0179574814214238,17.239775543346475,97.34866736868042,1.403080639103004,1.403080639103004,172.26412633033664
GJ-1132,GJ 1132 b,jw01981022001,nrs2,90,123.77064654844847,115.07183466933871,0.9941431400596705,17.64009840379996,-7.489239310463653,0.9672890220578023,0.696413173711681,211.0919528826614
K2-18,K2-18 b,jw02372004001,nrs1,90,155.27116780970684,113.26603542066367,0.9985229213177145,-6.532878631298066,-63.30108549930337,1.158316869942449,0.5937866063929951,318.7221565462711
K2-18,K2-18 b,jw02372004001,nrs2,90,174.6446918995022,149.28693195317334,0.9900153337878331,17.674063092437976,64.83254446033871,1.0979911595023981,0.7041517275615751,352.1230626350198
K2-18,K2-18 b,jw02372005001,nrs1,90,91.34997761407838,91.24797023632463,0.9982556333012297,4.258276804954823,-83.96591135794709,0.7931574043316646,0.4166026450204097,234.236624533106
K2-18,K2-18 b,jw02372005001,nrs2,90,166.8128740596616,184.62670241250217,1.050367921308808,7.84051403348994,-210.8627941937377,0.7769077063440242,0.3648024291519743,485.269972021881
K2-18,K2-18 b,jw02372007001,nrs1,90,126.84254736409605,134.26960433648696,0.9995043466191461,8.532405763622839,17.7893758597919,0.8596272029782192,0.3713380049833242,226.44536627372992
K2-18,K2-18 b,jw02372007001,nrs2,90,169.3096452211447,169.81269454363505,1.0066737267748542,-5.132227581713951,-2.508767646262986,0.9112952650799794,0.5331619339200085,281.02313403504604
LHS-1140,LHS 1140 b,jw07073024001,nrs1,90,223.92754324081915,214.32435601072766,0.9710579508831365,-31.126385513524408,-9.73997214148703,0.9474796790701753,0.2641860494298528,378.10078077263455
LHS-1140,LHS 1140 b,jw07073025001,nrs1,90,144.90294180948038,171.94834914126952,1.061505677799215,35.90369674100673,14.3955794560148,0.7108845998590106,0.21373523359094054,252.76091873261004
LHS-1140,LHS 1140 b,jw07073026001,nrs1,90,169.27013768508007,179.22590875840112,1.0078031489749708,-10.729228720559004,66.42051862998724,0.8760822609307318,0.30012179102460373,344.86989512194396
LHS-1140,LHS 1140 c,jw07073032001,nrs1,90,72.13607655587118,100.9984362158239,0.9763420720163325,12.845367052932092,-30.904473176600767,0.5456361685407362,0.26231974235075856,149.56831911100886
LHS-1140,LHS 1140 c,jw07073033001,nrs1,90,67.76543566883637,86.69814644299296,1.023115045156103,3.1761638460900334,54.742844622301774,0.6570423832155008,0.35829831980401533,166.21698629753763
TOI-1685,TOI-1685 b,jw03263001001,nrs1,90,58.716932261467946,69.14711313615085,1.0457671617013804,-6.407524782966508,-180.03568339752644,0.9055174149488515,0.6796138012631124,276.6250369676412
TOI-1685,TOI-1685 b,jw03263001001,nrs2,90,99.48597908894187,101.11337180066324,0.8926418452660979,-7.6110349805038755,70.4311089016218,0.9171109108052341,0.7886599376101602,234.08554450293119
TOI-1685,TOI-1685 b,jw04195001001,nrs1,90,77.91283762963086,86.14088240145253,0.9320501165289998,9.935933927956919,117.78051332814164,0.9391369317578729,0.6416598581097771,245.9471312288844
TOI-1685,TOI-1685 b,jw04195001001,nrs2,90,125.01690960354766,105.09996371299468,0.9721845486196259,-8.360995815119852,194.4146126811653,1.5786013063736513,1.5786013063736513,400.0674289790012
TOI-1685,TOI-1685 b,jw04195002001,nrs1,90,40.48301188775228,63.35413056398679,0.9860681666001068,10.784116483038558,-70.50866062234779,0.7510448173844247,0.7510448173844247,137.1032151777003
TOI-1685,TOI-1685 b,jw04195002001,nrs2,90,85.98873841779128,102.27490538614805,0.9695827380828943,9.89462156613565,114.69786759989228,0.759975152704578,0.6289293798516642,256.1493422971589
TOI-1685,TOI-1685 b,jw04195003001,nrs1,90,60.86861784018229,63.396260554337054,0.9873758717176945,-3.2556946912356604,62.36417295747828,1.142393546960121,1.142393546960121,162.49304930457814
TOI-1685,TOI-1685 b,jw04195003001,nrs2,90,133.50771200789242,134.9814121091409,0.9703644315185752,-7.37179022577033,119.56679773507447,1.025922628062717,0.7907555101939456,339.18698398805753
TOI-1685,TOI-1685 b,jw04195104001,nrs1,90,86.21415930979713,92.42201049264365,0.9977908011751774,-5.166630651018701,-112.5825387593239,0.7957836538555941,0.5390531199621995,254.4048308239402
TOI-1685,TOI-1685 b,jw04195104001,nrs2,90,64.22747320223155,100.62815604414796,0.9932182203109104,21.52596568484825,222.2816364886132,0.7465776620763066,0.676420537125472,327.9358299062841
TOI-776,TOI-776 c,jw02512003001,nrs1,90,31.30633778241629,22.07566091946009,1.0253461118337939,-78.72207174311882,-65.32285257505161,1.6674708948139616,1.6522033685700173,116.8217782271264
TOI-776,TOI-776 c,jw02512003001,nrs2,90,124.78888773879645,184.79997851231724,0.9410445903757054,-34.35807117407817,16.044109585419946,0.5744110310055768,0.15367563672509424,221.32182991574012
TOI-776,TOI-776 c,jw02512004001,nrs1,90,18.890191423009906,13.370942699072602,1.0102055559367737,-64.06717281158907,0.0,1.638860308877291,1.638860308877291,31.074364890851296
TOI-776,TOI-776 c,jw02512004001,nrs2,90,197.3954220324065,190.74244612026888,0.957608062758977,-11.442903092953674,-49.69587728130424,0.977336170967523,0.2761126645916524,374.41134652461295
TOI-776,TOI-776 b,jw02512005001,nrs1,90,85.38997397482073,73.83724026155807,0.9990717164237831,12.016004775482374,6.647641580784301,1.0014657930007678,0.41287263113906114,147.1141487693644
TOI-776,TOI-776 b,jw02512005001,nrs2,90,146.16309981967103,129.18902473300383,1.0001375133256585,-36.09222554882514,10.383156317706268,1.1852168855515957,0.4707716548171008,250.8214555210651
TOI-776,TOI-776 b,jw02512006001,nrs1,90,41.9038559071147,36.25581605155333,0.9724586841888754,17.398601847819336,4.200244099877349,1.243696604448694,1.0240757297471903,73.13208706708105
TOI-776,TOI-776 b,jw02512006001,nrs2,90,44.69033573080566,80.24307703931032,1.0030525861971518,4.8509238126137175,-10.329907237196828,0.4821430142117259,0.3108727182334714,83.84550951437214
