planet,n,dd_w_ppm,dd_w_err_ppm,chi2,dof,p_consistency,dd_w_sigma
GJ 1132 b,4,93.5055259863361,32.356830471763516,3.2738580165096547,3,0.35129772671825465,2.8898234043020543
K2-18 b,6,-52.347767195429654,55.29379843910724,1.8703575288989471,5,0.866776980751383,-0.9467204039722117
LHS 1140 b,3,27.41791660084703,98.78740542589676,0.08870330853495151,2,0.9566174996919979,0.2775446574656117
LHS 1140 c,2,14.592271047990153,49.39028259709772,0.7488400283400092,1,0.38684373333019284,0.2954482193800532
TOI-1685 b,9,41.462305083328694,23.71471998873623,22.495151195645505,8,0.0040766401965721425,1.7483784376548415
TOI-776 b,4,-1.1022416438770368,28.237462339780595,0.0730580912645351,3,0.9948616632683933,-0.03903472736373382
TOI-776 c,3,-0.08474306350914546,18.594356290384106,0.07989157130950685,2,0.9608415291346861,-0.004557461532183802
