target,planet,visit,det,bin,wave_lo_um,wave_hi_um,n_fits,sigma_cal_ppm,sigma_resid_ppm,bias_slope,dd_obs_ppm,cal_vs_boot,ul95_abs_dd_ppm
GJ-1132,GJ 1132 b,jw01981021001,nrs1,0,2.8616225868637777,2.9691390621089435,40,57.96216730509405,81.30106522358649,0.8923135875968542,54.83067192267512,0.6521000877721391,150.17843713955483
GJ-1132,GJ 1132 b,jw01981021001,nrs1,1,2.9691390621089435,3.0766555373541093,40,45.46442134540646,48.50285028854677,1.0052058480896306,49.71625849927667,0.8289139587695871,124.50523161247028
GJ-1132,GJ 1132 b,jw01981021001,nrs1,2,3.0766555373541093,3.184172012599275,40,27.783985975999883,29.084654773796764,0.9294108051499599,74.04228219751131,0.654303857673441,119.74693912803113
GJ-1132,GJ 1132 b,jw01981021001,nrs1,3,3.184172012599275,3.291688487844441,40,70.04082378380807,56.73521463820528,1.0345429784008184,-20.05229479013328,1.266690740450046,135.26944991449756
GJ-1132,GJ 1132 b,jw01981021001,nrs1,4,3.291688487844441,3.399204963089608,40,48.97874339001726,58.652130057731476,1.035766240432726,-128.98125575159244,0.913029414604191,209.55128862817082
GJ-1132,GJ 1132 b,jw01981021001,nrs1,5,3.399204963089608,3.506721438334773,40,33.354354230208166,32.24903702983925,1.0363040684925333,26.226509309411338,0.903708671262752,81.09442201810377
GJ-1132,GJ 1132 b,jw01981021001,nrs1,6,3.506721438334773,3.614237913579939,40,27.04328716905906,35.56613379248548,0.9156756654240732,11.218658117713442,0.7543868627901604,55.704865510815594
GJ-1132,GJ 1132 b,jw01981021001,nrs1,7,3.614237913579939,3.721754388825105,40,56.901255970984664,53.31707828195096,0.9449620580539426,-3.01029244838746,1.1666626540036347,96.61285852065723
GJ-1132,GJ 1132 b,jw01981021001,nrs2,0,3.8207140041647993,3.99045373494978,40,70.50360884418232,58.47737059706743,1.1017100672754092,-55.86343153770376,1.5168939855470676,171.84186808638367
GJ-1132,GJ 1132 b,jw01981021001,nrs2,1,3.99045373494978,4.160193465734761,40,46.89589605598561,42.13378328498336,0.9962309268105515,-39.393423252635614,0.9222458450062866,116.53717226473194
GJ-1132,GJ 1132 b,jw01981021001,nrs2,2,4.160193465734761,4.329933196519741,40,55.926926684198776,67.85757974618245,0.8922909207493211,70.97180481885432,0.7423454976150928,162.9715992143613
GJ-1132,GJ 1132 b,jw01981021001,nrs2,3,4.329933196519741,4.499672927304721,40,58.58376395617746,81.46355737731062,1.0094949680735443,22.372366973355888,0.7446797357206485,118.74265868126781
GJ-1132,GJ 1132 b,jw01981021001,nrs2,4,4.499672927304721,4.669412658089702,40,95.91898098874063,81.17336256363033,0.8868841185898922,68.83769018312634,1.0936802162692305,226.62441390960467
GJ-1132,GJ 1132 b,jw01981021001,nrs2,5,4.669412658089702,4.839152388874682,40,166.61555849544337,203.28373231616496,1.061105552097281,240.2353921113166,1.0080670029449517,514.317985836321
GJ-1132,GJ 1132 b,jw01981022001,nrs1,0,2.8618027027535105,2.969235448967721,40,39.965539991799574,57.51681695809036,1.0220219568651405,91.3906763315574,0.44720174202727736,157.1339896180677
GJ-1132,GJ 1132 b,jw01981022001,nrs1,1,2.969235448967721,3.076668195181932,40,87.10418406771198,68.94343053417948,1.0232404660217023,57.67383230851362,1.0988496222380946,200.96021509989984
GJ-1132,GJ 1132 b,jw01981022001,nrs1,2,3.076668195181932,3.1841009413961423,40,86.01058031802542,76.02428694840265,0.8939726283902187,26.408163193877584,1.1799990882069857,167.8955678170294
GJ-1132,GJ 1132 b,jw01981022001,nrs1,3,3.1841009413961423,3.291533687610353,40,59.189330108590646,50.27932615756771,1.0766727801267781,-76.36427108845267,1.0437132446314346,173.73071911708428
GJ-1132,GJ 1132 b,jw01981022001,nrs1,4,3.291533687610353,3.3989664338245635,40,48.36036314566405,50.25424596861546,1.1258839732160169,-44.38257055272695,1.018790515662082,123.93536792734432
GJ-1132,GJ 1132 b,jw01981022001,nrs1,5,3.3989664338245635,3.506399180038774,40,41.78627356918649,46.74099777540266,0.9892367448125187,13.74585771258055,0.8732919036002545,82.48427773389233
GJ-1132,GJ 1132 b,jw01981022001,nrs1,6,3.506399180038774,3.6138319262529848,40,33.051763025156596,29.862772243990644,1.052629073727246,-45.20422333031265,0.9516918631362241,99.57437350669525
GJ-1132,GJ 1132 b,jw01981022001,nrs1,7,3.6138319262529848,3.7212646724671954,40,71.55853694504762,63.98567339199731,0.9837232199310544,14.095495676747037,0.9789298145436257,131.80928895135037
GJ-1132,GJ 1132 b,jw01981022001,nrs2,0,3.820225302612134,3.989967360391428,40,53.91970392344941,59.27355177389128,0.9807863079157432,18.78609181373524,0.8491622637415197,107.48400476780952
GJ-1132,GJ 1132 b,jw01981022001,nrs2,1,3.989967360391428,4.159709418170722,40,66.9222114087449,67.36396715923814,1.136659428190323,-59.75597487680503,1.1179698754055047,169.8430126441904
GJ-1132,GJ 1132 b,jw01981022001,nrs2,2,4.159709418170722,4.329451475950016,40,63.63647247254792,69.9409304921985,1.0634056735863076,-108.85472674262726,0.9399772163806861,213.53672395996858
GJ-1132,GJ 1132 b,jw01981022001,nrs2,3,4.329451475950016,4.499193533729311,40,56.91674175616194,56.93607572490482,0.9576352165984606,61.29727129140306,1.0555791483487145,154.92531148028945
GJ-1132,GJ 1132 b,jw01981022001,nrs2,4,4.499193533729311,4.668935591508605,40,82.93834614800438,93.23787742227991,1.0778527516912764,39.941555262363366,0.9384827960301161,176.37513467583057
GJ-1132,GJ 1132 b,jw01981022001,nrs2,5,4.668935591508605,4.838677649287899,40,426.3490206688038,449.13846987210655,1.0625572680990771,195.9722962675669,0.9588740330502085,897.3164352677492
