planet,det,bin,wave_lo_um,wave_hi_um,band,n_fits,dd_ppm,err_ppm,z,p,fdr_pass
GJ 1132 b,nrs1,0,2.8616225868637777,2.9691390621089435,cont,2,79.6099735257727,32.902363528716265,2.419582211967579,0.015538347908593408,False
GJ 1132 b,nrs1,1,2.9691390621089435,3.0766555373541093,cont,2,51.4200241450883,40.30450647955085,1.2757884573323601,0.20203030895568053,False
GJ 1132 b,nrs1,2,3.0766555373541093,3.184172012599275,cont,2,69.54140234687618,26.438786578336995,2.630279651482037,0.008531465611912757,False
GJ 1132 b,nrs1,3,3.184172012599275,3.291688487844441,CH4,2,-52.9037085044603,45.20849732179203,-1.1702160354478075,0.24191404131352112,False
GJ 1132 b,nrs1,4,3.291688487844441,3.399204963089608,CH4,2,-86.14449251780044,34.41248781422601,-2.5032916243326233,0.012304411186808492,False
GJ 1132 b,nrs1,5,3.399204963089608,3.506721438334773,cont,2,21.36928575483943,26.068080862719984,0.8197490972724306,0.412359154684538,False
GJ 1132 b,nrs1,6,3.506721438334773,3.614237913579939,cont,2,-11.407296468817883,20.930059126256,-0.5450197918699543,0.5857399054721901,False
GJ 1132 b,nrs1,7,3.614237913579939,3.721754388825105,cont,2,3.6159119819223124,44.537139865970445,0.08118868864960786,0.9352918949692537,False
GJ 1132 b,nrs2,0,3.8207140041647993,3.99045373494978,cont,2,-8.76259584104796,42.830020834567826,-0.20459004385951002,0.8378924347185178,False
GJ 1132 b,nrs2,1,3.99045373494978,4.160193465734761,cont,2,-46.099491721219216,38.405035951289875,-1.2003501775050653,0.23000336983999936,False
GJ 1132 b,nrs2,2,4.160193465734761,4.329933196519741,CO2,2,-7.394110392762257,42.00904596136148,-0.17601233790367707,0.8602842495270482,False
GJ 1132 b,nrs2,3,4.329933196519741,4.499672927304721,CO2,2,42.396506416206655,40.8228371225087,1.038548748803896,0.2990146521106809,False
GJ 1132 b,nrs2,4,4.499672927304721,4.669412658089702,CO,2,52.303463520661744,62.7375328678894,0.8336869674298578,0.40445740400506336,False
GJ 1132 b,nrs2,5,4.669412658089702,4.839152388874682,cont,2,234.37106876527037,155.18628293134654,1.5102563470055836,0.13097802582200843,False
K2-18 b,nrs1,0,2.861827924598608,2.96926872211858,cont,3,8.60096058298878,50.49211928762437,0.17034263374832986,0.8647406842929718,False
K2-18 b,nrs1,1,2.96926872211858,3.0767095196385523,cont,3,-8.444777070007257,46.245177676698276,-0.18260881445942323,0.855104967703723,False
K2-18 b,nrs1,2,3.0767095196385523,3.184150317158524,cont,3,58.2098924961665,47.78821978101908,1.2180803713321582,0.22319343219690047,False
K2-18 b,nrs1,3,3.184150317158524,3.2915911146784964,CH4,3,75.85712763794417,32.81484210918124,2.3116712670916724,0.020795805958101994,False
K2-18 b,nrs1,4,3.2915911146784964,3.399031912198468,CH4,3,39.083706655620375,32.29924306560931,1.2100502348067357,0.2262596173582071,False
K2-18 b,nrs1,5,3.399031912198468,3.50647270971844,cont,3,11.518800338650204,21.492857215813462,0.5359362053629239,0.5920026410602736,False
K2-18 b,nrs1,6,3.50647270971844,3.613913507238412,cont,3,26.078200577884175,21.004415331066085,1.2415580327681783,0.21439967400800808,False
K2-18 b,nrs1,7,3.613913507238412,3.721354304758384,cont,3,43.30114604664999,41.94614776793582,1.032303282919104,0.30193006364918196,False
K2-18 b,nrs2,0,3.82032238134822,3.990077357424214,cont,3,-10.123403678734038,32.79992116746925,-0.3086410978564901,0.7575945545461946,False
K2-18 b,nrs2,1,3.990077357424214,4.1598323335002085,cont,3,30.603996225709448,15.311950145700473,1.9987000959706567,0.04564081262733699,False
K2-18 b,nrs2,2,4.1598323335002085,4.329587309576203,CO2,3,21.336689916339346,26.008681783544233,0.8203679868865607,0.41200635953931297,False
K2-18 b,nrs2,3,4.329587309576203,4.499342285652197,CO2,3,4.366806271130606,46.12957861467127,0.0946639098442093,0.9245817849737176,False
K2-18 b,nrs2,4,4.499342285652197,4.669097261728191,CO,3,-22.811839199231226,69.1443597883029,-0.32991612430968353,0.7414633395808183,False
K2-18 b,nrs2,5,4.669097261728191,4.838852237804185,cont,3,75.84997640390155,143.6049422745534,0.5281849997814599,0.5973709395333646,False
K2-18 b,nrs2,7,5.00860721388018,5.178362189956174,cont,1,766.8946334722342,338.9461971790268,2.2625851532040375,0.02366127420006226,False
LHS 1140 b,nrs1,0,2.84824423036032,3.140621419575656,cont,3,-147.8092926834318,55.80290054930152,-2.648774368867138,0.008078424582546416,False
LHS 1140 b,nrs1,1,3.140621419575656,3.432998608790992,CH4,3,-139.30193851623014,44.42252650928024,-3.135840067248962,0.0017136262644265095,False
LHS 1140 b,nrs1,2,3.432998608790992,3.725375798006328,cont,3,-38.68960142357064,11.452528347688729,-3.378258516284635,0.0007294646924934444,False
LHS 1140 b,nrs1,3,3.725375798006328,4.017752987221664,cont,3,-50.680875143698714,24.53621123271047,-2.065554239936338,0.03887058902722189,False
LHS 1140 b,nrs1,4,4.017752987221664,4.310130176437,cont,3,-19.71939064686282,35.56941926531157,-0.5543916952867936,0.5793108083857876,False
LHS 1140 b,nrs1,5,4.310130176437,4.602507365652336,cont,3,-36.799553356958256,49.458911489872435,-0.7440429287347661,0.45685050448008535,False
LHS 1140 b,nrs1,6,4.602507365652336,4.894884554867672,CO,3,36.51347996151816,75.0781381252879,0.4863397105104775,0.6267263285712641,False
LHS 1140 b,nrs1,7,4.894884554867672,5.187261744083008,cont,3,103.6523483184271,116.8658194458926,0.886934681242849,0.37511406833473593,False
LHS 1140 c,nrs1,0,2.849000433930459,3.140699536999328,cont,2,-88.26919314635975,91.23089950306768,-0.9675361486860236,0.3332760793738665,False
LHS 1140 c,nrs1,1,3.140699536999328,3.432398640068196,CH4,2,-60.007048042360935,69.98395852162206,-0.8574400378312599,0.3912017400367872,False
LHS 1140 c,nrs1,2,3.432398640068196,3.724097743137064,cont,2,-35.10051573000839,40.301157310711645,-0.8709555276388805,0.38377843606358053,False
LHS 1140 c,nrs1,3,3.724097743137064,4.015796846205933,cont,2,-52.223090569114284,30.75252985981469,-1.6981721766362987,0.08947527024149372,False
LHS 1140 c,nrs1,4,4.015796846205933,4.307495949274801,cont,2,-14.742817347723467,54.035859625763976,-0.27283395600306465,0.7849808563144267,False
LHS 1140 c,nrs1,5,4.307495949274801,4.59919505234367,cont,2,-30.069050333523315,83.58400473179769,-0.35974646620496525,0.7190367401643252,False
LHS 1140 c,nrs1,6,4.59919505234367,4.890894155412538,CO,2,29.48648679008585,132.0462706626208,0.22330419967273474,0.8232987589215093,False
LHS 1140 c,nrs1,7,4.890894155412538,5.182593258481407,cont,2,-60.131971812549075,125.96016250146873,-0.4773888078450829,0.6330852824906408,False
TOI-1685 b,nrs1,0,2.8619297421425656,2.9692651864042228,cont,5,-50.41281972953101,25.170636180428005,-2.002842493457938,0.045194197187831235,False
TOI-1685 b,nrs1,1,2.9692651864042228,3.0766006306658804,cont,5,-25.376694125104517,20.76318970782179,-1.2221963235034525,0.22163339385884306,False
TOI-1685 b,nrs1,2,3.0766006306658804,3.1839360749275376,cont,5,18.093305279499102,24.32904854605012,0.7436914454444045,0.45706316596336205,False
TOI-1685 b,nrs1,3,3.1839360749275376,3.291271519189195,CH4,5,55.492695497139245,23.932673753169745,2.3187002033063506,0.020411297501983852,False
TOI-1685 b,nrs1,4,3.291271519189195,3.3986069634508524,CH4,5,-4.7223313960166955,27.016195619447213,-0.17479631338682616,0.8612396852330781,False
TOI-1685 b,nrs1,5,3.3986069634508524,3.5059424077125096,cont,5,42.188287928790245,21.42478553870471,1.9691346666026344,0.048937628891896165,False
TOI-1685 b,nrs1,6,3.5059424077125096,3.613277851974167,cont,5,-46.3697079308361,16.84527650280095,-2.7526830992133595,0.005910908253646432,False
TOI-1685 b,nrs1,7,3.613277851974167,3.720613296235825,cont,5,27.237807481732595,24.9182613697742,1.0930861939979488,0.27435595706739735,False
TOI-1685 b,nrs2,0,3.819562640797222,3.9892852956206752,cont,5,-92.99688470555232,21.064761736135853,-4.414808288385216,1.0109954520446305e-05,True
TOI-1685 b,nrs2,1,3.9892852956206752,4.159007950444128,cont,5,-9.107880155405033,25.6940865504465,-0.3544737867027524,0.7229838455371853,False
TOI-1685 b,nrs2,2,4.159007950444128,4.328730605267581,CO2,5,-1.7541925826126004,20.53756269839348,-0.08541386377604678,0.9319323717416348,False
TOI-1685 b,nrs2,3,4.328730605267581,4.4984532600910345,CO2,5,20.846873742082956,34.22818012399069,0.6090558617655306,0.542487412493108,False
TOI-1685 b,nrs2,4,4.4984532600910345,4.668175914914488,CO,5,-81.37474949344148,41.59296710425705,-1.956454544093171,0.05041163219805584,False
TOI-1685 b,nrs2,5,4.668175914914488,4.837898569737941,cont,5,211.62757965156288,92.40964533542842,2.2901027147479827,0.02201536304483333,False
TOI-1685 b,nrs2,7,5.007625612247429,5.177347378177832,cont,2,244.18694460186705,161.73555270802837,1.5097913879373406,0.13109666324723027,False
TOI-776 b,nrs1,0,2.86193013214717,2.9692675886068045,cont,2,6.240162561691064,28.48536057107919,0.21906559848944368,0.8265989483217078,False
TOI-776 b,nrs1,1,2.9692675886068045,3.07660504506644,cont,2,-131.78644410124804,59.71852412743834,-2.206793386588355,0.027328497313341766,False
TOI-776 b,nrs1,2,3.07660504506644,3.1839425015260736,cont,2,-142.4794843316855,89.07947301156423,-1.5994648319617801,0.10971735680816272,False
TOI-776 b,nrs1,3,3.1839425015260736,3.291279957985708,CH4,2,-255.27565326254117,89.3382499887555,-2.8574060191986215,0.004271190973428095,False
TOI-776 b,nrs1,4,3.291279957985708,3.3986174144453427,CH4,2,-22.60594789231466,43.296219855933614,-0.5221229005103684,0.6015847627253834,False
TOI-776 b,nrs1,5,3.3986174144453427,3.505954870904977,cont,2,-42.26792431293134,35.848943184576456,-1.1790563558681577,0.23837573591852024,False
TOI-776 b,nrs1,6,3.505954870904977,3.6132923273646114,cont,2,-22.05863747389722,28.077863008098262,-0.7856238014814387,0.43208791609492514,False
TOI-776 b,nrs1,7,3.6132923273646114,3.720629783824246,cont,2,-88.5550423623915,44.172778893712135,-2.0047423906807245,0.04499059417226126,False
TOI-776 b,nrs2,0,3.819580955478861,3.989306857983288,cont,2,-67.467620091368,38.101430617615165,-1.7707371874949014,0.07660441543125625,False
TOI-776 b,nrs2,1,3.989306857983288,4.159032760487714,cont,2,-69.12791937347204,33.61504559799182,-2.056457700524487,0.039738419489767265,False
TOI-776 b,nrs2,2,4.159032760487714,4.328758662992142,CO2,2,-46.0151480429072,16.366367943557456,-2.8115674902091423,0.00493007466553734,False
TOI-776 b,nrs2,3,4.328758662992142,4.498484565496568,CO2,2,-36.584216623101376,48.55914703201358,-0.7533949597381212,0.4512126106768689,False
TOI-776 b,nrs2,4,4.498484565496568,4.668210468000995,CO,2,-86.39002107640475,32.42820870762408,-2.6640392583909174,0.0077208551583491415,False
TOI-776 b,nrs2,5,4.668210468000995,4.837936370505421,cont,1,-139.51598069775932,101.45148404108738,-1.3751990127739875,0.16906975430212146,False
