dd_ppm,dd_err_boot_ppm,k_in,k_eg,depth_ppm,ramp_model,sigma_ppm,chi2_red,n_pts,target,planet,visit,det,bin,wave_lo_um,wave_hi_um,spot_flag,dd_white_ppm,sigma_cal_ppm,sigma_resid_ppm,bias_slope,z_cal,p_cal,fdr_pass,band,ul95_ppm
54.83067192267512,88.8853849155554,0.0475689948349421,0.0481418730579672,2289.4439743218986,quad,413.6099128371192,1.0613274509479147,814,GJ-1132,GJ 1132 b,jw01981021001,nrs1,0,2.8616225868637777,2.9691390621089435,0,-12.705860538788238,57.96216730509405,81.30106522358649,0.8923135875968542,0.9459734594475091,0.3441621233675015,False,cont,150.17843713955483
49.71625849927667,54.84817919207485,0.0486850067215756,0.0491929480513126,2394.1420096707434,quad_exp,365.1986419271131,1.0895337458557348,814,GJ-1132,GJ 1132 b,jw01981021001,nrs1,1,2.9691390621089435,3.0766555373541093,0,-12.705860538788238,45.46442134540646,48.50285028854677,1.0052058480896306,1.0935200983108917,0.2741655095234308,False,cont,124.50523161247028
74.04228219751131,42.46342987307695,0.0477917101560308,0.0485601672344275,2320.1425968099293,linear,352.3709819603199,0.9662833500081336,814,GJ-1132,GJ 1132 b,jw01981021001,nrs1,2,3.0766555373541093,3.184172012599275,0,-12.705860538788238,27.783985975999883,29.084654773796764,0.92941080514996,2.664926560986241,0.007700513715426821,False,cont,119.74693912803113
-20.05229479013328,55.29433629468473,0.0477000178331425,0.0474893609821397,2265.366620386954,linear,336.9140719892113,1.083749477191797,814,GJ-1132,GJ 1132 b,jw01981021001,nrs1,3,3.184172012599275,3.291688487844441,0,-12.705860538788238,70.04082378380807,56.73521463820528,1.0345429784008184,-0.2862943881418045,0.7746526559440678,False,CH4,135.26944991449756
-128.98125575159244,53.64421190225303,0.0486624501903175,0.0473186306096609,2299.3987821570104,quad,331.2098515724596,1.066117490182797,814,GJ-1132,GJ 1132 b,jw01981021001,nrs1,4,3.291688487844441,3.399204963089608,0,-12.705860538788238,48.97874339001726,58.65213005773148,1.035766240432726,-2.633412922102063,0.008453150835736438,False,CH4,209.55128862817082
26.226509309411338,36.90830384929485,0.0484285984714987,0.0486986207117107,2358.0941015578906,quad,327.73019655469346,1.0054810533168814,814,GJ-1132,GJ 1132 b,jw01981021001,nrs1,5,3.399204963089608,3.506721438334773,0,-12.705860538788238,33.354354230208166,32.24903702983925,1.036304068492533,0.7862994177131655,0.4316920935371149,False,cont,81.09442201810377
11.218658117713442,35.84803567368245,0.0480734878125221,0.0481900289331561,2316.6276303755994,linear,314.6596364655242,1.1126069944301873,814,GJ-1132,GJ 1132 b,jw01981021001,nrs1,6,3.506721438334773,3.614237913579939,0,-12.705860538788238,27.04328716905906,35.56613379248548,0.9156756654240732,0.41484077167028,0.6782584703773452,False,cont,55.704865510815594
-3.01029244838746,48.77267286795947,0.0480230124171865,0.0479916599960125,2305.1394385689587,linear,381.3128282987258,1.0725379726338984,814,GJ-1132,GJ 1132 b,jw01981021001,nrs1,7,3.614237913579939,3.721754388825105,0,-12.705860538788238,56.90125597098466,53.31707828195096,0.9449620580539426,-0.05290379618197675,0.9578085597183573,False,cont,96.61285852065723
-55.86343153770376,46.47892965226255,0.0493903491076279,0.0488215439476842,2412.026046428481,linear,354.87140159094184,0.9712764115019163,814,GJ-1132,GJ 1132 b,jw01981021001,nrs2,0,3.8207140041647993,3.99045373494978,0,158.12116456575012,70.50360884418232,58.47737059706743,1.1017100672754092,-0.792348540074958,0.4281574760077246,False,cont,171.84186808638367
-39.393423252635614,50.84966910928825,0.0488013110270727,0.0483960177567168,2361.972715949792,linear,301.08971734549914,1.1435575988910922,814,GJ-1132,GJ 1132 b,jw01981021001,nrs2,1,3.99045373494978,4.160193465734761,0,158.12116456575012,46.89589605598561,42.13378328498336,0.9962309268105516,-0.840018563790884,0.4008979781142922,False,cont,116.53717226473194
70.97180481885432,75.33813684311852,0.0474317240896407,0.0481740620555778,2284.191542891446,quad,363.2548859137476,0.9810892945703276,814,GJ-1132,GJ 1132 b,jw01981021001,nrs2,2,4.160193465734761,4.329933196519741,0,158.12116456575012,55.926926684198776,67.85757974618245,0.8922909207493211,1.2690095634900358,0.20443765316072615,False,CO2,162.9715992143613
