target,visit,det,bin,wave_lo_um,wave_hi_um,n_cols,n_ok,oot_scatter_ppm
K2-18,jw02372004001,nrs1,7,3.6139135072384123,3.721354304758384,160,2089,569.8794342864861
K2-18,jw02372004001,nrs2,0,3.8203223813482197,3.990077357424214,254,2089,693.523428382718
K2-18,jw02372004001,nrs2,1,3.990077357424214,4.1598323335002085,253,2089,862.1518984932616
K2-18,jw02372004001,nrs2,2,4.1598323335002085,4.329587309576203,255,2089,1063.5421280639146
K2-18,jw02372004001,nrs2,3,4.329587309576203,4.499342285652197,255,2089,1250.550915988714
K2-18,jw02372004001,nrs2,4,4.499342285652197,4.669097261728191,256,2089,1378.42819444782
K2-18,jw02372004001,nrs2,5,4.669097261728191,4.838852237804185,257,2089,2188.0523746121376
K2-18,jw02372004001,nrs2,6,4.838852237804185,5.00860721388018,258,2089,744918.9638630715
K2-18,jw02372004001,nrs2,7,5.00860721388018,5.178362189956174,260,2089,6977.743592708113
K2-18,jw02372005001,nrs1,0,2.861886311387701,2.969305802669837,159,2089,733.0046576927205
K2-18,jw02372005001,nrs1,1,2.969305802669837,3.0767252939519727,158,2089,713.6807727352466
K2-18,jw02372005001,nrs1,2,3.0767252939519727,3.1841447852341087,159,2089,703.3102208783482
K2-18,jw02372005001,nrs1,3,3.1841447852341087,3.2915642765162447,158,2089,707.1878705289666
K2-18,jw02372005001,nrs1,4,3.2915642765162447,3.3989837677983807,159,2089,678.3035298632535
K2-18,jw02372005001,nrs1,5,3.3989837677983807,3.5064032590805168,160,2089,646.4043971235665
K2-18,jw02372005001,nrs1,6,3.5064032590805168,3.6138227503626523,159,2089,638.4621983373045
K2-18,jw02372005001,nrs1,7,3.6138227503626523,3.7212422416447883,160,2089,562.2556509157226
K2-18,jw02372005001,nrs2,0,3.8201906630271516,3.989911370303823,254,2089,662.0429122105049
K2-18,jw02372005001,nrs2,1,3.989911370303823,4.159632077580494,253,2089,812.1137800979802
K2-18,jw02372005001,nrs2,2,4.159632077580494,4.329352784857166,255,2089,1014.9479059931732
K2-18,jw02372005001,nrs2,3,4.329352784857166,4.499073492133837,255,2089,1244.9006688462478
K2-18,jw02372005001,nrs2,4,4.499073492133837,4.668794199410509,256,2089,1317.0661537265976
K2-18,jw02372005001,nrs2,5,4.668794199410509,4.83851490668718,257,2089,1925.6185863480432
K2-18,jw02372005001,nrs2,6,4.83851490668718,5.008235613963851,258,2088,369654.05023544864
K2-18,jw02372005001,nrs2,7,5.008235613963851,5.177956321240523,260,2089,6925.268081078557
K2-18,jw02372007001,nrs1,0,2.862006211143523,2.9693409859620177,159,2089,720.5045840945579
K2-18,jw02372007001,nrs1,1,2.9693409859620177,3.076675760780512,158,2089,715.9512641418803
K2-18,jw02372007001,nrs1,2,3.076675760780512,3.1840105355990067,158,2089,693.1684770760087
