pl_name,spec_type,spec_id_a,spec_id_b,authors_a,authors_b,instrument_a,instrument_b,same_instrument,epoch_class,tested,n,n_interp,offset,offset_err,chi2,dof,p_value,chi2_red,slope,slope_err,p_slope,chi2_red_slope,shared_suspect,significant
VHS J125601.92-125723.9 b,Direct Imaging,823,824,Miles et al. 2023,Miles et al. 2023,Near Infrared Spectrograph (NIRSpec) - G140H,Near Infrared Spectrograph (NIRSpec) - G235H,False,unknown,True,581.0,581.0,-9.672743378810739e-18,2.868168048241842e-19,18795.50098317337,580.0,0.0,32.40603617788512,1.561590440367852e-16,4.4706566958429504e-18,0.0,30.354769639307836,False,
HR 8799 e,Direct Imaging,1562,1596,Ruffio et al. 2026,Xuan et al. 2026,Near Infrared Spectrograph (NIRSpec) - G395H,Near Infrared Spectrograph (NIRSpec) - G395H,True,unknown,True,2022.0,2022.0,1.486305819592022e-19,1.026512171968315e-19,9315.065278947506,2021.0,0.0,4.609136704080903,3.3563443599970862e-19,3.716177653029758e-19,0.0,4.61101463409029,False,
VHS J125601.92-125723.9 b,Direct Imaging,824,825,Miles et al. 2023,Miles et al. 2023,Near Infrared Spectrograph (NIRSpec) - G235H,Near Infrared Spectrograph (NIRSpec) - G395H,False,unknown,True,451.0,451.0,7.831526862218131e-18,1.2198071861318197e-19,30482.272858536773,450.0,0.0,67.73838413008171,6.742305147431488e-17,1.4187952512762555e-18,0.0,62.859677297600115,False,
HR 8799 e,Direct Imaging,1563,1597,Ruffio et al. 2026,Xuan et al. 2026,Near Infrared Spectrograph (NIRSpec) - G395H,Near Infrared Spectrograph (NIRSpec) - G395H,True,unknown,True,1928.0,1928.0,-5.133994610898448e-20,6.793070600669584e-20,5270.331926934791,1927.0,7.608283346186431e-308,2.734993215845766,-3.4695120016586635e-19,2.357527686843746e-19,9.145130446330527e-308,2.7352887345905517,False,
VHS J125601.92-125723.9 b,Direct Imaging,822,825,Miles et al. 2023,Miles et al. 2023,Mid-Infrared Instrument (MIRI) - MRS,Near Infrared Spectrograph (NIRSpec) - G395H,False,unknown,True,369.0,369.0,5.895494280672989e-18,4.936115053872098e-19,1245.402183647569,368.0,9.661956207374695e-96,3.3842450642596984,2.132264153000702e-17,4.649595445178469e-18,8.688341689137334e-93,3.3361623514280025,False,
TOI-5205 b,Transmission,1600,1601,Ca&ntilde;as et al. 2026,Ca&ntilde;as et al. 2026,Near Infrared Spectrograph (NIRSpec) - PRISM,Near Infrared Spectrograph (NIRSpec) - PRISM,True,unknown,True,469.0,1.0,-0.0220954037761801,0.0017116811694097547,1080.2827675266556,468.0,2.2474254304827347e-50,2.3082965118090932,0.011846486147045176,0.0017342894581140402,7.198459234316681e-45,2.2133270087713384,False,True
HR 8799 d,Direct Imaging,1561,1595,Ruffio et al. 2026,Xuan et al. 2026,Near Infrared Spectrograph (NIRSpec) - G395H,Near Infrared Spectrograph (NIRSpec) - G395H,True,unknown,True,1942.0,1942.0,-1.4650230490410914e-20,4.814600396083005e-20,3007.5238518498963,1941.0,2.2160387863603403e-49,1.54947133016481,4.9532268317878587e-20,1.602162415903683e-19,1.8085069029264456e-49,1.5502207591020625,False,
WASP-39 b,Transmission,77,837,Feinstein et al. 2023,Carter et al. 2024,Near Infrared Imager and Slitless Spectrograph (NIRISS),Near Infrared Spectrograph (NIRSpec),False,unknown,True,49.0,0.0,0.0025189565606603377,0.000835309278836319,356.25304576548524,48.0,1.1337852939003844e-48,7.421938453447609,0.005558093917021735,0.0016032916417029121,7.717697886095612e-47,7.324153145111147,False,True
TOI-5205 b,Transmission,1601,1602,Ca&ntilde;as et al. 2026,Ca&ntilde;as et al. 2026,Near Infrared Spectrograph (NIRSpec) - PRISM,Near Infrared Spectrograph (NIRSpec) - PRISM,True,unknown,True,469.0,1.0,0.004791241135468755,0.002047799780718937,924.288554086311,468.0,3.1842442469741624e-32,1.974975542919468,-0.011486399403464036,0.002107691160170542,3.30824616499709e-29,1.915607558627972,False,True
TOI-5205 b,Transmission,1601,1604,Ca&ntilde;as et al. 2026,Ca&ntilde;as et al. 2026,Near Infrared Spectrograph (NIRSpec) - PRISM,Near Infrared Spectrograph (NIRSpec) - PRISM,True,unknown,True,469.0,1.0,0.03570139481410163,0.002117597716305773,839.6864795344993,468.0,1.6078866252602207e-23,1.7942018793472208,-0.012223440339606467,0.0021485055817520504,1.4401680656638987e-20,1.728733667901724,False,True
WASP-12 b,Transmission,53,250,Stevenson et al. 2014,Kreidberg et al. 2015,Wide Field Camera 3,Wide Field Camera 3,True,unknown,True,12.0,1.0,0.0439283916577943,0.002849899056601101,106.31508389635391,11.0,9.949075902623264e-18,9.665007626941264,0.1062103857598118,0.012803169369979533,4.640410214920901e-05,3.7497568131777657,False,True
TOI-5205 b,Transmission,1601,1605,Ca&ntilde;as et al. 2026,Ca&ntilde;as et al. 2026,Near Infrared Spectrograph (NIRSpec) - PRISM,Near Infrared Spectrograph (NIRSpec) - PRISM,True,unknown,True,469.0,1.0,0.025672431725745536,0.0024065654501766905,761.2046095075749,468.0,2.382474642490337e-16,1.6265055758708866,-0.0011878092587120175,0.002408861594628348,1.9499544045724308e-16,1.6294677988409343,False,True
WASP-39 b,Transmission,828,837,Carter et al. 2024,Carter et al. 2024,Near Infrared Imager and Slitless Spectrograph (NIRISS),Near Infrared Spectrograph (NIRSpec),False,unknown,True,38.0,0.0,0.005369442174277803,0.0010085263792122326,153.33626018861813,37.0,4.1588650222057982e-16,4.144223248341031,0.01242472969391195,0.002204391114455017,3.2665397878770524e-11,3.3768824602087215,False,True
TOI-260 b,Transmission,1760,1762,Meech et al. 2026,Meech et al. 2026,Near Infrared Spectrograph (NIRSpec) - G395H,Near Infrared Spectrograph (NIRSpec) - G395H,True,unknown,True,106.0,106.0,-0.0018306595453794442,0.00040080501234102735,266.2078872485979,105.0,5.638709552672701e-16,2.5353132118914083,0.00825965658057399,0.0007178917545219627,0.025969144086578546,1.2868544571835396,False,True
TOI-5205 b,Transmission,1601,1606,Ca&ntilde;as et al. 2026,Ca&ntilde;as et al. 2026,Near Infrared Spectrograph (NIRSpec) - PRISM,Near Infrared Spectrograph (NIRSpec) - PRISM,True,unknown,True,469.0,1.0,0.028193000352953773,0.002455246526405455,749.3277126037176,468.0,2.3735462622069216e-15,1.6011275910335847,-0.010842803125638244,0.0025308301562368216,5.890164141031422e-14,1.565251811973204,False,True
TOI-5205 b,Transmission,1599,1605,Ca&ntilde;as et al. 2026,Ca&ntilde;as et al. 2026,Near Infrared Spectrograph (NIRSpec) - PRISM,Near Infrared Spectrograph (NIRSpec) - PRISM,True,unknown,True,469.0,1.0,0.006163041332360547,0.002141212442048591,737.9506609306986,468.0,2.0346388933155133e-14,1.576817651561322,-7.875459624811338e-05,0.002139582690214809,1.612365805844429e-14,1.5801912335611357,False,True
WASP-18 b,Eclipse,61,258,Coulombe et al. 2023,Sheppard et al. 2017,Near Infrared Imager and Slitless Spectrograph (NIRISS),Wide Field Camera 3,False,unknown,True,29.0,0.0,-0.007907187011313172,0.0007885494396635493,123.68062718893515,28.0,5.439886649195053e-14,4.417165256747684,-0.04684830547562925,0.005329704842383636,0.011472388747989263,1.7191062141488633,False,True
