pl_name,spec_type,spec_id_a,spec_id_b,authors_a,authors_b,instrument_a,instrument_b,same_instrument,epoch_class,tested,n,n_interp,offset,offset_err,chi2,dof,p_value,chi2_red,slope,slope_err,p_slope,chi2_red_slope,shared_suspect,significant,pair_class
WASP-39 b,Transmission,828,837,Carter et al. 2024,Carter et al. 2024,Near Infrared Imager and Slitless Spectrograph (NIRISS),Near Infrared Spectrograph (NIRSpec),False,unknown,True,38.0,0.0,0.0053694421742778,0.0010085263792122,153.33626018861813,37.0,4.1588650222057982e-16,4.144223248341031,0.0124247296939119,0.002204391114455,3.2665397878770524e-11,3.376882460208721,False,True,within_paper_other
TOI-260 b,Transmission,1760,1762,Meech et al. 2026,Meech et al. 2026,Near Infrared Spectrograph (NIRSpec) - G395H,Near Infrared Spectrograph (NIRSpec) - G395H,True,unknown,True,106.0,106.0,-0.0018306595453794,0.000400805012341,266.2078872485979,105.0,5.638709552672701e-16,2.5353132118914083,0.0082596565805739,0.0007178917545219,0.0259691440865785,1.2868544571835396,False,True,epoch_same_pipeline
TOI-5205 b,Transmission,1601,1606,Cañas et al. 2026,Cañas et al. 2026,Near Infrared Spectrograph (NIRSpec) - PRISM,Near Infrared Spectrograph (NIRSpec) - PRISM,True,unknown,True,469.0,1.0,0.0281930003529537,0.0024552465264054,749.3277126037176,468.0,2.3735462622069216e-15,1.6011275910335847,-0.0108428031256382,0.0025308301562368,5.890164141031422e-14,1.565251811973204,False,True,epoch_diff_pipeline
TOI-5205 b,Transmission,1599,1605,Cañas et al. 2026,Cañas et al. 2026,Near Infrared Spectrograph (NIRSpec) - PRISM,Near Infrared Spectrograph (NIRSpec) - PRISM,True,unknown,True,469.0,1.0,0.0061630413323605,0.0021412124420485,737.9506609306986,468.0,2.0346388933155133e-14,1.576817651561322,-7.875459624811338e-05,0.0021395826902148,1.612365805844429e-14,1.5801912335611357,False,True,derived
WASP-18 b,Eclipse,61,258,Coulombe et al. 2023,Sheppard et al. 2017,Near Infrared Imager and Slitless Spectrograph (NIRISS),Wide Field Camera 3,False,unknown,True,29.0,0.0,-0.0079071870113131,0.0007885494396635,123.68062718893516,28.0,5.439886649195053e-14,4.417165256747684,-0.0468483054756292,0.0053297048423836,0.0114723887479892,1.719106214148863,False,True,cross_paper
HR 8799 c,Direct Imaging,1558,1592,Ruffio et al. 2026,Xuan et al. 2026,Near Infrared Spectrograph (NIRSpec) - G395H,Near Infrared Spectrograph (NIRSpec) - G395H,True,unknown,True,2015.0,2015.0,-1.3616018642194177e-19,5.377689091117233e-20,2516.281821403245,2014.0,1.0040938646478477e-13,1.2493951446888012,-1.380359568995922e-19,1.7232433830832011e-19,9.567962904808006e-14,1.2496970599660917,False,,cross_paper
WASP-80 b,Transmission,112,1062,Kirk et al. 2018,Sedaghati et al. 2017,ACAM,FORS2,False,unknown,True,11.0,0.0,0.1160765769826281,0.0097454897965409,79.51122255196778,10.0,6.259134688515489e-13,7.951122255196777,-2.5860552676421125,0.3208019790614092,0.1047452302906496,1.6142175310944011,False,True,cross_paper
TOI-260 b,Transmission,1760,1763,Meech et al. 2026,Meech et al. 2026,Near Infrared Spectrograph (NIRSpec) - G395H,Near Infrared Spectrograph (NIRSpec) - G395H,True,unknown,True,104.0,104.0,-0.0028026102263153,0.0004197167417357,239.47325833011996,103.0,7.034918082455799e-13,2.324983090583689,0.0080674348759722,0.0007648284161926,0.0405944671813407,1.2569830576445578,False,True,epoch_diff_pipeline
TOI-5205 b,Transmission,1603,1605,Cañas et al. 2026,Cañas et al. 2026,Near Infrared Spectrograph (NIRSpec) - PRISM,Near Infrared Spectrograph (NIRSpec) - PRISM,True,unknown,True,469.0,1.0,-0.0098694345416085,0.002471226051612,710.8512399091783,468.0,2.7245462433808167e-12,1.5189129057888424,0.0011905197204301,0.0024482165874323,2.2916011660173395e-12,1.5216590391650826,False,True,epoch_same_pipeline
GJ 1132 b,Transmission,404,524,Swain et al. 2021,Mugnai et al. 2021,Wide Field Camera 3,Wide Field Camera 3,True,unknown,True,24.0,0.0,-0.0105916588298437,0.0009205202203615,102.88226310401936,23.0,4.458864921925197e-12,4.473141874087799,0.0391028971439107,0.0063954778221487,3.311831065959821e-06,2.9772481296061746,False,True,cross_paper
TOI-5205 b,Transmission,1599,1604,Cañas et al. 2026,Cañas et al. 2026,Near Infrared Spectrograph (NIRSpec) - PRISM,Near Infrared Spectrograph (NIRSpec) - PRISM,True,unknown,True,469.0,1.0,0.015655819259763,0.0018133165012885,700.3804816604895,468.0,1.657119925155447e-11,1.4965394907275418,-0.0105245642217742,0.0018424073676069,2.750520832291259e-09,1.429869358412897,False,True,derived
WASP-18 b,Eclipse,258,260,Sheppard et al. 2017,Coulombe et al. 2023,Wide Field Camera 3,Near Infrared Imager and Slitless Spectrograph (NIRISS),False,unknown,True,29.0,0.0,0.006625644009778,0.0008164141598892,108.36088821301898,28.0,2.1450175445173072e-11,3.870031721893535,0.0466867006235722,0.005552838357631,0.0832055235315082,1.3952281985492636,False,True,cross_paper
WASP-33 b,Eclipse,293,650,Haynes et al. 2015,Changeat et al. 2022,Wide Field Camera 3,Wide Field Camera 3,True,unknown,True,11.0,0.0,0.0005359906486984,0.0010344803217295,69.48797932950322,10.0,5.566609083685725e-11,6.948797932950322,-0.0448691485254852,0.0078284832123983,3.0539500076933205e-05,4.0708442919273296,False,True,cross_paper
WASP-121 b,Eclipse,611,1771,Changeat et al. 2022,Pelletier et al. 2026,Wide Field Camera 3,Near Infrared Imager and Slitless Spectrograph (NIRISS),False,unknown,True,38.0,0.0,0.0018207086739692,0.0007518731039996,121.11389503581788,37.0,7.19302062748172e-11,3.2733485144815644,0.0229566317795917,0.0037165518607988,1.4316518503791126e-05,2.3044516159038912,False,True,cross_paper
HD 189733 b,Transmission,261,262,Sing et al. 2016,Barnes et al. 2016,Space Telescope Imaging Spectrograph,HARPS Echelle Spectrograph,False,unknown,True,11.0,10.0,-0.8693616550788138,0.0385518449629634,67.53393254056552,10.0,1.3239883896944874e-10,6.753393254056552,-3.282467427045089,0.4115699512047761,0.9162362061514726,0.4361855777353074,False,True,cross_paper
WASP-18 b,Eclipse,258,259,Sheppard et al. 2017,Coulombe et al. 2023,Wide Field Camera 3,Near Infrared Imager and Slitless Spectrograph (NIRISS),False,unknown,True,29.0,0.0,0.0065783628262318,0.0008145851583955,102.68130038497264,28.0,1.8534144309961474e-10,3.667189299463309,0.0459672342771722,0.0054941588016368,0.2077705799801729,1.2104406655176134,False,True,cross_paper
WASP-107 b,Transmission,765,901,Sing et al. 2024,Murphy et al. 2024,Near Infrared Spectrograph (NIRSpec),Near Infrared Camera (NIRCam),False,unknown,True,24.0,1.0,-0.0163394127108999,0.0011735284786978,91.75384901550912,23.0,3.602476715192192e-10,3.989297783283005,-0.0249944449282469,0.0038301459135627,0.0007586336345837,2.2349490064980038,False,True,cross_paper
TOI-5205 b,Transmission,1603,1606,Cañas et al. 2026,Cañas et al. 2026,Near Infrared Spectrograph (NIRSpec) - PRISM,Near Infrared Spectrograph (NIRSpec) - PRISM,True,unknown,True,469.0,1.0,-0.0076377198273647,0.0025197222935425,681.5639482034292,468.0,3.7396823216015697e-10,1.4563332226569,-0.0085533676191506,0.002570303249611,1.794845085577442e-09,1.4357385910644225,False,True,epoch_diff_pipeline
TOI-776 b,Transmission,950,953,Alderson et al. 2025,Alderson et al. 2025,Near Infrared Spectrograph (NIRSpec),Near Infrared Spectrograph (NIRSpec),True,unknown,True,105.0,105.0,-0.0028802368508182,0.0004601895692332,217.26190209324744,104.0,5.422851140201556e-10,2.08905675089661,0.006657478303567,0.0008370898619057,0.0008475731617062,1.4952402224753072,False,True,epoch_diff_pipeline
WASP-39 b,Transmission,77,871,Feinstein et al. 2023,Rustamkulov et al. 2023,Near Infrared Imager and Slitless Spectrograph (NIRISS),Near Infrared Spectrograph (NIRSpec) - PRISM,False,unknown,True,73.0,73.0,-0.0122348845036364,0.0014234798177034,170.24021555556257,72.0,6.224022544549202e-10,2.3644474382717022,0.0022925380508572,0.0025471930563727,5.06151242741483e-10,2.386340424177286,False,True,cross_paper
TOI-5205 b,Transmission,1603,1604,Cañas et al. 2026,Cañas et al. 2026,Near Infrared Spectrograph (NIRSpec) - PRISM,Near Infrared Spectrograph (NIRSpec) - PRISM,True,unknown,True,469.0,1.0,0.00013754144711,0.0021903219631896,677.739426871367,468.0,6.901567775481963e-10,1.4481611685285618,-0.0099165633538662,0.0021926154835889,1.3552695065862714e-08,1.407461506819425,False,True,same_data_diff_pipe
HR 8799 e,Direct Imaging,818,1562,Doelman et al. 2022,Ruffio et al. 2026,LMIRCam/ALES,Near Infrared Spectrograph (NIRSpec) - G395H,False,unknown,True,46.0,46.0,-6.296605742575862e-17,1.418990097486122e-18,127.42873018169573,45.0,8.262588992642801e-10,2.8317495595932383,9.752128293565356e-18,8.158554943704209e-18,7.736457519164555e-10,2.863634710672247,False,,cross_paper
HR 8799 e,Direct Imaging,818,1596,Doelman et al. 2022,Xuan et al. 2026,LMIRCam/ALES,Near Infrared Spectrograph (NIRSpec) - G395H,False,unknown,True,39.0,39.0,-6.32286566556565e-17,1.5289576092133562e-18,112.3042639064987,38.0,2.8744947614675166e-09,2.955375365960492,-1.1133312407459338e-18,1.0780787638781419e-17,1.6245778879692287e-09,3.0349621412698564,False,,cross_paper
TOI-776 b,Transmission,950,951,Alderson et al. 2025,Alderson et al. 2025,Near Infrared Spectrograph (NIRSpec),Near Infrared Spectrograph (NIRSpec),True,unknown,True,106.0,106.0,-0.00287054937762,0.00045507673659,210.8442308618162,105.0,4.296952549640129e-09,2.008040293922059,0.0060107655641826,0.0008213692387592,0.0005800061462356,1.5124169777296632,False,True,epoch_same_pipeline
HD 209458 b,Eclipse,268,599,Knutson et al. 2008,Changeat et al. 2022,Infrared Array Camera (IRAC),Infrared Array Camera (IRAC),True,unknown,True,4.0,4.0,-0.018229034606782,0.0087037556342818,41.37285573091552,3.0,5.450506691305928e-09,13.790951910305171,-0.0170678376002983,0.0065799239881842,2.999601933991942e-08,17.32220115275753,False,True,cross_paper
HD 209458 b,Eclipse,46,268,Diamond-Lowe et al. 2014,Knutson et al. 2008,Infrared Array Camera (IRAC),Infrared Array Camera (IRAC),True,unknown,True,4.0,4.0,0.018229034606782,0.0087037556342818,41.37285573091552,3.0,5.450506691305928e-09,13.790951910305171,0.0170678376002983,0.0065799239881842,2.999601933991942e-08,17.32220115275753,False,True,cross_paper
TYC 8998-760-1 b,Direct Imaging,1565,1567,Hoch et al. 2025,Hoch et al. 2025,Mid-Infrared Instrument (MIRI),Near Infrared Spectrograph (NIRSpec) - PRISM,False,unknown,True,4.0,4.0,-2.27956232046428e-18,2.5532156038680367e-19,39.06580199253575,3.0,1.6808379561594298e-08,13.021933997511915,2.510674248520901e-17,5.406567012382412e-18,0.0001583509779367,8.75069660920616,False,,within_paper_other
WASP-18 b,Eclipse,258,481,Sheppard et al. 2017,Coulombe et al. 2023,Wide Field Camera 3,Near Infrared Imager and Slitless Spectrograph (NIRISS),False,unknown,True,29.0,0.0,0.0082427251177487,0.0008758108576364,90.4296876629328,28.0,1.6984109913545293e-08,3.2296317022475995,0.0444679853585605,0.0058601932879479,0.2020728727838386,1.2166582114209437,False,True,cross_paper
TOI-5205 b,Transmission,1599,1606,Cañas et al. 2026,Cañas et al. 2026,Near Infrared Spectrograph (NIRSpec) - PRISM,Near Infrared Spectrograph (NIRSpec) - PRISM,True,unknown,True,469.0,1.0,0.0082222073650277,0.0021979316457825,655.5269346927785,468.0,2.0989161707952492e-08,1.4006985784033728,-0.0096146548340095,0.0022747480731406,2.311858539039767e-07,1.365443312003258,False,True,derived
GJ 1132 b,Transmission,404,522,Swain et al. 2021,Libby-Roberts et al. 2022,Wide Field Camera 3,WFC3,False,unknown,True,22.0,1.0,-0.0099062412034351,0.0009997925011496,74.43801439288217,21.0,6.714486146994065e-08,3.544667352042008,0.0443598355380605,0.0072839282054369,0.0106244990224578,1.8674361256245904,False,True,cross_paper
HD 97658 b,Transmission,664,1620,Edwards et al. 2023,Guo et al. 2020,Wide Field Camera 3,Wide Field Camera 3,True,unknown,True,24.0,0.0,-0.0091100861990066,0.0003856044819072,75.8924720896535,23.0,1.4490851825683158e-07,3.299672699550152,-0.0177501907164758,0.0029416962544437,0.0124151535203684,1.7946970218192126,False,True,cross_paper
WASP-39 b,Transmission,828,871,Carter et al. 2024,Rustamkulov et al. 2023,Near Infrared Imager and Slitless Spectrograph (NIRISS),Near Infrared Spectrograph (NIRSpec) - PRISM,False,unknown,True,51.0,51.0,-0.0084361238350216,0.0014736694035066,118.80065256402824,50.0,1.578329059789159e-07,2.376013051280565,0.0140633957296254,0.002891177268197,8.67702154003329e-05,1.9416279437787665,False,True,cross_paper
WASP-12 b,Transmission,507,1680,Changeat et al. 2022,Swain et al. 2013,Wide Field Camera 3,Wide Field Camera 3,True,unknown,True,24.0,0.0,0.0451828868447994,0.0021028397786017,74.52973879067567,23.0,2.383220180931704e-07,3.2404234256815507,-0.0451465675966388,0.0150696408006408,3.2479786672072976e-06,2.979752196744006,False,True,cross_paper
HD 189733 b,Eclipse,899,900,Inglis et al. 2024,Inglis et al. 2024,Mid-Infrared Instrument (MIRI) - LRS,Mid-Infrared Instrument (MIRI) - LRS,True,independent,True,33.0,33.0,-0.0019775969664541,0.0007187373458055,88.38171562502976,32.0,3.505984053681968e-07,2.76192861328218,4.221243965375423e-05,0.00047490806992,2.0325212095854506e-07,2.850768225597309,False,True,within_paper_other
