wave,dwave,depth_pct,err_pct,planet,det
2.9018677824273817,0.10581277542047074,0.28778043791428676,0.005301071673009072,LHS 1140 c,nrs1
3.007680557847853,0.10581277542047074,0.29725393606163664,0.004445380085805578,LHS 1140 c,nrs1
3.1134933332683232,0.10581277542047074,0.29694962087583043,0.0044007055896670266,LHS 1140 c,nrs1
3.2193061086887944,0.10581277542047074,0.3017831553073558,0.004410749378245129,LHS 1140 c,nrs1
3.3251188841092647,0.10581277542047074,0.2945101320717902,0.0043459822487586855,LHS 1140 c,nrs1
3.430931659529736,0.10581277542047074,0.2923598046804643,0.004226501715777912,LHS 1140 c,nrs1
3.536744434950206,0.10581277542047074,0.2917175201659461,0.004335544485612751,LHS 1140 c,nrs1
3.6425572103706774,0.10581277542047074,0.2890847859041923,0.004611045530356277,LHS 1140 c,nrs1
3.7483699857911477,0.10581277542047074,0.28847880411699833,0.004739808356498052,LHS 1140 c,nrs1
3.854182761211619,0.10581277542047118,0.28397959960790864,0.004833243416699997,LHS 1140 c,nrs1
3.9599955366320896,0.1058127754204703,0.29435699078821376,0.005230031112466755,LHS 1140 c,nrs1
4.06580831205256,0.10581277542047118,0.2764259781381506,0.005453113213813343,LHS 1140 c,nrs1
4.1716210874730315,0.1058127754204703,0.2897253702914049,0.0057095721573018655,LHS 1140 c,nrs1
4.277433862893502,0.10581277542047118,0.3003468025285949,0.005967962033299774,LHS 1140 c,nrs1
4.383246638313972,0.1058127754204703,0.3045367543825228,0.0067678107463153715,LHS 1140 c,nrs1
4.489059413734443,0.10581277542047118,0.2993203848113857,0.007406591855983871,LHS 1140 c,nrs1
4.5948721891549145,0.1058127754204703,0.31150047010192194,0.008096034963984845,LHS 1140 c,nrs1
4.700684964575385,0.10581277542047118,0.28365866237147763,0.008244046492485791,LHS 1140 c,nrs1
4.806497739995855,0.1058127754204703,0.30133507458429687,0.00859641963825675,LHS 1140 c,nrs1
4.912310515416326,0.10581277542047118,0.28366241409331083,0.010250978875122625,LHS 1140 c,nrs1
5.018123290836797,0.10581277542047118,0.2930598328186207,0.010347638726761307,LHS 1140 c,nrs1
5.123936066257269,0.1058127754204703,0.29717532389833545,0.01006850430236663,LHS 1140 c,nrs1
