t_bmjd,bin00,bin01,bin02,bin03,bin04,bin05,bin06,bin07
61219.353114448444,1.0008800443880292,1.0005039221477259,1.0014365909964036,1.0009447145698902,1.0012993262607592,1.0023947546322105,1.0008999064094948,1.0024887399953024
61219.353198213226,0.9999908903357312,1.0005610101412192,1.0010308142523567,1.0011387789738837,1.0010876694561488,1.0019147738881085,1.0019549989283305,1.0000155700927473
61219.35328197802,0.9998020413320651,1.0001821664828814,0.9999783631058505,1.000515446196625,1.0010725796345843,1.0017429123697095,1.0014828929022155,1.000887194592467
61219.35336574282,1.0010331830282186,1.0009680486615018,1.0007292658150813,1.0011381871537304,1.0015316321881094,1.0019347700481631,1.002759644421389,1.0022308187487734
61219.35344950762,1.001529066329816,1.000841414930205,1.000834072997899,1.0005916197779707,0.9999009791847103,1.0013211484484283,1.0000816015704164,1.000472886274174
61219.35353327241,1.001518061111027,1.001737329569318,1.0016083457411398,1.002046188154217,1.0021291381357538,1.0032225337986602,1.0025966544377958,1.002442985467733
61219.35361703721,1.000585282300488,1.0004810322198854,1.0012072596948023,1.0008509414730888,1.0015005366169345,1.0013546724982525,0.9999293315842169,1.0013031772849905
61219.35370080199,1.0007459712573956,1.0012459660876802,1.0005589189649802,1.0008738673699227,1.0016961467611583,1.000052832294359,1.0024773592249447,1.003090481516968
61219.35378456679,1.0009324472665526,1.0007598886138338,1.0001413388753417,1.0004742974500698,1.0005060419613594,0.9995755785927048,0.9982558515241823,1.0004287259188658
61219.353868331586,1.0003278592630138,1.000567447091482,1.000511039714884,1.0008787627275668,1.0014431438691276,1.001371419106017,1.0014602256219887,1.001162807014496
61219.35395209638,1.000712010586813,1.0006201942795043,1.0008363169854144,1.0007714268994825,1.0006067556713416,1.0000216138849463,0.9994528980132802,1.00177267436184
61219.35403586118,1.0006615832619645,1.0010508204405764,1.0014734639746474,1.0019993214572263,1.0018271589583851,1.0024859400094883,1.0024597742700845,1.0003137720192095
61219.354119625976,1.0001819802066738,1.0003271391431456,1.0001226254940112,1.0006438059083465,1.0015831434201132,1.0009658680484574,1.002988660997932,1.002019555124225
61219.35420339076,1.0003354122275723,0.9992429034626065,0.9996035474426888,1.000188993733587,1.0010602271158815,1.0012649368109081,1.001314535249391,1.0016538840503313
61219.354287155555,1.0022921868890926,1.001349891917732,1.0013804542790228,1.0018540317188431,1.0006237667779254,1.000530360158314,1.0014016084239628,1.0020032423726295
61219.35437092035,1.000020520993012,0.9998908994377426,1.0004613383924663,1.0009695069955253,1.0001069323170586,0.9994537721308525,1.002091896823498,1.0026789499704745
61219.35445468515,1.0013384332113313,1.0010242819649826,1.0012871697913703,1.0017191788591358,1.0019050782656551,1.0019675755871977,1.0034080121594662,1.001329876507828
61219.354538449945,1.0004068867056846,1.0006106720062866,1.0003392115743688,1.0009880013132755,1.0007942810346813,1.0018862440380305,1.0013985558923466,0.9994964047840418
61219.35462221473,1.0006590262425519,1.0008852295666453,1.0008700399140933,1.0006625580462805,1.0001953508172359,0.9990905001507951,0.9983321068594373,0.9979094716360059
61219.35470597952,1.0009007833326775,1.000446480343517,1.000413224806449,0.9997913183826519,1.0007189039433477,1.0015434744741332,1.002216537205347,1.0018010355617584
61219.35478974431,1.0004752396448244,1.000149715093223,1.000582809954271,1.0001358716092417,1.0013101360036516,1.0016579634079377,1.000820138310584,1.0025738891860996
61219.35487350911,1.000474943881059,1.0005686661686788,1.0010016022901576,1.0015315604560304,0.9999698916971498,1.0002233167865908,1.0008010703858186,1.0022670162123717
61219.35495727391,1.0014591617562392,1.0013336437896554,1.0006102874990475,0.9998463172096463,1.0010318399395408,1.002636966866219,1.0026625126199098,1.0028734904092185
61219.3550410387,1.0008252994947286,1.000161040153386,0.9999154005810194,1.0000069131293736,0.9999111017279897,1.0008593317335752,1.0021327429283722,1.002791673015677
61219.355124803486,1.0005339417355072,1.0008924246827264,1.0004021640404412,1.0004547055975035,0.9997828662229262,1.000643244991683,0.9999265320097664,1.0011900972524748
61219.35520856828,1.0002243594208207,1.0005647091220293,1.0000724571577886,0.9999448742480543,1.000192646310616,1.001343664415783,1.0004898035255656,1.0001507588606373
61219.35529233308,1.000904663213122,1.0008063971325518,1.0007249175573165,1.0003674425223867,1.0007773030624452,1.0002560075933635,1.0019123418956088,1.0012229256008662
61219.355376097876,1.0005722800805175,1.0007271258306667,1.0005888768228373,0.9998495016239127,0.99923361994582,0.9996226819227908,0.9990269103057363,0.9985687861537849
61219.35545986267,1.0005573605593598,1.000961353422737,1.0004149649717342,1.0008670459292477,1.0011917740271,1.001336869636603,1.0022021268288213,1.002269534225295
61219.35554362747,1.0009668845483957,1.0003379384971418,1.000561908516546,0.9998012706387869,1.0024739803112752,1.000891849007802,1.000252016290001,1.0001289212180386
61219.35562739225,1.000348551076104,0.9995775428251261,0.9993208947708329,0.9991273001411131,0.9986564527399828,0.9971920380829841,0.9991628996687666,0.9993317897998659
61219.35571115705,1.0002716376691576,1.000102435605593,1.000335524873438,1.0009389293728042,1.0001566865833609,1.0009903143861172,1.0021288769792405,1.0024408799762938
61219.355794921845,1.0015447979436047,1.0011859082217387,1.001077564158064,1.0018172569822834,0.9998601488773686,1.0001036959743257,1.0015104028462356,1.001827504615065
61219.35587868664,0.9993592850933232,1.0010390108668095,1.000656688222125,1.0007473401914637,1.0009942992305434,0.9997578680785746,1.000132218912858,1.0011049258606592
61219.35596245144,1.000600104116337,1.0008603646224146,1.0015429956427737,1.0013756263917397,1.000350157871618,1.0009152625160798,1.0002157615963176,1.0015501943527723
61219.356046216235,1.000420576305006,0.9995882711497845,0.9998870168636579,1.0002285898517573,1.0007311587495347,1.0006552976157859,1.0012327646297396,1.0007980853345733
61219.35612998102,1.0010594093571796,1.000963424072672,1.0011399115511024,1.0012229365440877,1.0009857421161492,1.0009363307057058,1.002309703511209,1.0006007240382468
61219.356213745814,0.9991704252335117,0.9998173991025777,0.999586732513926,0.999932042793078,0.999441337820299,0.9995362478953054,0.9982802056400618,0.9968978582046494
61219.35629751061,0.9997827666431226,1.0003389069676933,0.9995082024569685,1.0011798525332243,1.0008619242987333,1.0012049359014157,1.000903386104626,1.0009124219067707
61219.35638127541,1.0009093956981547,1.0011150664768442,1.0007896713149782,1.0003586021933404,1.0008194323714663,1.0009229782606863,1.0019022723594975,1.000821430559137
61219.356465040204,0.9993377724497287,0.9994008310725464,0.9995231967503748,0.9996182594997416,1.0003344628410458,0.9995733764503548,0.9998180795228533,1.0005841697952336
