wave_um,dwave_um,depth_ppm,err_ppm
2.72449,0.05167,556.8,46.0
2.77616,0.02039,624.0,39.300000000000004
2.79655,0.02039,653.6,33.7
2.81693,0.02038,700.5,30.400000000000002
2.83732,0.02038,654.4999999999999,27.5
2.8577,0.02038,645.6,26.2
2.87807,0.02037,628.9,26.6
2.89844,0.02037,620.5,25.799999999999997
2.91881,0.02037,628.0,25.0
2.93918,0.02036,669.1999999999999,24.299999999999997
2.95954,0.02036,660.5,23.999999999999996
2.9799,0.02035,621.1,23.1
3.00025,0.02035,638.5,23.2
3.0206,0.02035,624.6,23.400000000000002
3.04095,0.02034,630.0999999999999,22.7
3.06129,0.02034,631.8,22.599999999999998
3.08163,0.02033,646.1,22.7
3.10196,0.02033,646.7,22.9
3.12229,0.02033,625.9000000000001,22.599999999999998
3.14262,0.02032,623.7,22.5
3.16294,0.02032,637.6,22.200000000000003
3.18326,0.02031,650.1,22.1
3.20357,0.02031,632.9,22.4
3.22388,0.0203,612.4,23.1
3.24418,0.0203,643.6999999999999,22.0
3.26448,0.02029,597.0,22.7
3.28478,0.02029,639.3,22.200000000000003
3.30507,0.02029,671.2,22.5
3.32535,0.02028,669.1999999999999,22.0
3.34563,0.02028,663.8,22.200000000000003
3.36591,0.02027,671.6999999999999,22.1
3.38618,0.02027,611.2,22.7
3.40645,0.02026,665.8,22.4
3.42671,0.02026,618.9,22.7
3.44697,0.02025,636.4,22.599999999999998
3.46722,0.02025,630.3000000000001,22.7
3.48747,0.02024,676.6,22.599999999999998
3.50771,0.02024,639.0,22.8
3.52794,0.02023,705.1,22.5
3.54818,0.02023,634.6999999999999,22.5
3.5684,0.02022,643.6999999999999,23.0
3.58862,0.02022,639.0999999999999,23.0
3.60884,0.02021,655.9,23.5
3.62905,0.02021,629.6999999999999,23.5
3.64925,0.0202,650.3000000000001,23.3
3.66945,0.02019,637.9,23.5
3.68965,0.0249,634.2,21.5
3.82557,0.04029,616.0,15.399999999999999
3.86586,0.04027,646.1999999999999,15.7
3.90613,0.04024,620.7,16.2
3.94637,0.04019,654.4999999999999,16.5
3.98656,0.0402,650.8,17.0
4.02676,0.04017,648.2,17.3
4.06693,0.04015,634.5000000000001,17.7
4.10708,0.04009,665.1999999999999,18.3
4.14717,0.04007,651.0,18.6
4.18723,0.04007,619.9000000000001,19.0
4.2273,0.04005,633.6,19.5
4.26735,0.03996,665.3000000000001,20.2
4.30731,0.03999,641.5999999999999,21.0
4.3473,0.03993,624.6,21.900000000000002
4.38723,0.03991,649.9000000000001,22.7
4.42714,0.03988,644.6,23.6
4.46702,0.03985,635.1999999999999,24.099999999999998
4.50686,0.03982,598.5999999999999,24.4
4.54668,0.03979,644.8,25.3
4.58647,0.03972,637.6999999999999,26.0
4.62619,0.03976,617.4,26.6
4.66595,0.03966,625.4,27.299999999999997
4.70561,0.03963,660.1999999999999,27.7
4.74524,0.03966,600.8000000000001,28.6
4.78489,0.03956,672.1,29.2
4.82445,0.03952,625.0,29.8
4.86398,0.03949,633.1,30.7
4.90346,0.03945,592.2,31.5
4.94291,0.03945,604.0,32.3
4.98236,0.03939,636.4,34.0
5.02173,0.03935,621.7,34.9
5.06109,0.03929,597.8,34.5
5.10039,0.06675,595.6999999999999,27.5
