wave_um,dwave_um,depth_ppm,err_ppm
2.875,0.009999999999999787,663.4,35.699999999999996
2.885,0.009999999999999787,644.2,36.3
2.895,0.009999999999999787,600.1999999999999,35.0
2.905,0.009999999999999787,578.4,35.300000000000004
2.915,0.009999999999999787,628.6,34.0
2.925,0.009999999999999787,624.6,34.0
2.935,0.009999999999999787,586.0,32.1
2.945,0.009999999999999787,672.4,32.6
2.955,0.009999999999999787,605.1999999999999,32.1
2.965,0.009999999999999787,648.4,31.8
2.975,0.009999999999999787,604.9,31.0
2.985,0.009999999999999787,608.7,33.0
2.995,0.009999999999999787,584.4,30.7
3.005,0.009999999999999787,616.5,30.9
3.015,0.009999999999999787,630.7,30.9
3.025,0.009999999999999787,588.8000000000001,31.099999999999998
3.035,0.009999999999999787,619.0,32.3
3.045,0.009999999999999787,595.5,30.7
3.055,0.009999999999999787,621.7,29.900000000000002
3.065,0.009999999999999787,649.0999999999999,30.3
3.075,0.009999999999999787,583.5,30.1
3.085,0.009999999999999787,633.3,30.400000000000002
3.095,0.009999999999999787,612.6999999999999,29.7
3.105,0.009999999999999787,602.2,30.0
3.115,0.009999999999999787,600.3,30.9
3.125,0.009999999999999787,626.8,29.299999999999997
3.135,0.009999999999999787,560.5,29.599999999999998
3.145,0.009999999999999787,615.7,30.0
3.155,0.009999999999999787,584.8,29.5
3.165,0.009999999999999787,673.8,29.5
3.175,0.009999999999999787,579.4,29.5
3.185,0.009999999999999787,617.8000000000001,29.5
3.195,0.009999999999999787,621.3,29.900000000000002
3.205,0.009999999999999787,646.9,29.5
3.215,0.009999999999999787,602.3,30.0
3.225,0.009999999999999787,601.8,30.3
3.235,0.009999999999999787,572.2,30.500000000000004
3.245,0.009999999999999787,557.6,30.1
3.255,0.009999999999999787,693.4,29.099999999999998
3.265,0.009999999999999787,555.6,29.099999999999998
3.275,0.009999999999999787,619.6999999999999,29.599999999999998
3.285,0.009999999999999787,602.3,29.7
3.295,0.009999999999999787,589.3000000000001,30.0
3.305,0.009999999999999787,650.9,29.299999999999997
3.315,0.009999999999999787,644.4999999999999,29.7
3.325,0.009999999999999787,665.0,29.299999999999997
3.335,0.009999999999999787,666.1999999999999,30.0
3.345,0.009999999999999787,623.4,29.5
3.355,0.009999999999999787,608.5,29.5
3.365,0.009999999999999787,637.4000000000001,29.8
3.375,0.009999999999999787,644.4999999999999,29.599999999999998
3.385,0.009999999999999787,633.2,29.4
3.395,0.009999999999999787,611.7,30.1
3.405,0.009999999999999787,552.9,29.5
3.415,0.009999999999999787,684.0,29.7
3.425,0.009999999999999787,608.5,29.599999999999998
3.435,0.009999999999999787,611.0,30.599999999999998
3.445,0.009999999999999787,575.8,29.299999999999997
3.455,0.009999999999999787,648.3,30.7
3.465,0.009999999999999787,604.2,29.2
3.475,0.009999999999999787,579.3000000000001,29.599999999999998
3.485,0.009999999999999787,635.1999999999999,29.8
3.495,0.009999999999999787,668.0999999999999,31.099999999999998
3.505,0.009999999999999787,643.1,29.2
3.515,0.009999999999999787,595.6,29.4
3.525,0.009999999999999787,662.2,30.0
3.535,0.009999999999999787,662.1,30.799999999999997
3.545,0.009999999999999787,665.3000000000001,29.299999999999997
3.555,0.009999999999999787,593.5,30.0
3.565,0.009999999999999787,601.8,29.2
3.575,0.009999999999999787,624.6999999999999,30.3
3.585,0.009999999999999787,596.3000000000001,29.8
3.595,0.009999999999999787,600.1999999999999,30.1
3.605,0.009999999999999787,634.0,31.099999999999998
3.615,0.009999999999999787,616.8,30.7
3.625,0.009999999999999787,615.6,30.500000000000004
3.635,0.009999999999999787,623.1,30.599999999999998
3.645,0.009999999999999787,590.3,30.7
3.655,0.009999999999999787,632.3,31.0
3.665,0.009999999999999787,603.1999999999999,31.0
3.675,0.009999999999999787,636.3000000000001,31.4
3.685,0.009999999999999787,604.4,31.6
3.695,0.009999999999999787,641.5,30.9
3.705,0.009999999999999787,607.5,31.099999999999998
3.835,0.009999999999999787,611.3,32.3
